seq,page,form,meaning_zho,source_table,affix_form,affix_function_zho,base_form,base_meaning_zho,source_context,raw_ocr,retained_xml_id,note,status
435,157,hali-emu,愛吃年糕,table 102,hali-,很喜歡、很愛、擅於,emu,年糕,hali- | emu | 年糕 | 很喜歡、很愛、擅於,具「很喜歡、很 | 愛」、「擅於」等語 | 435 | hali- | hali-名詞 | hali-emu ［hal-年糕〕（愛吃年糕）,AKIW_SZY_2012_TABLE_ROW_241,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
436,157,la-cacay,團結、一致,table 102,la-,變成,cacay,一個,la- | cacay | 一個 | 變成,意 | la-數詞 | 436 | la-cacay ［la-一個〕（團結、一致） | 有「變成」之意,AKIW_SZY_2012_TABLE_ROW_027,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
437,157,la-heci,完成,table 102,la-,變成,heci,果實,la- | heci | 果實 | 變成,la- | la-名詞 | 437 | la-heci〔la-果實〕（完成） | V,AKIW_SZY_2012_TABLE_ROW_028,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
438,157,ma-lutuk,雜草叢生,table 102,ma-,動詞化,lutuk,草,ma- | lutuk | 草 | 動詞化,動詞化功能 | 438 | ma-lutuk〔ma-草〕（雜草叢生）,AKIW_SZY_2012_TABLE_ROW_047,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
439,157,ma-menah,長痔瘡,table 102,ma-,長、產生,menah,肛門,ma- | menah | 肛門 | 長、產生,ma-名詞 | 動詞化功能，產生 | ma- | 439 | ma-menah〔ma-痔瘡〕（長痔瘡） | 「長、產生」之意,AKIW_SZY_2012_TABLE_ROW_054,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
440,157,mi-cudad,讀書,table 102,mi-,（正在）進行與名詞相關之動作,cudad,書,mi- | cudad | 書 | （正在）進行與名詞相關之動作,動詞化功能，產生 | 「（正在）進行與 | mi-名詞 | 440 | mi-cudad〔mi-書〕（讀書） | mi- | 名詞相關之動作」,AKIW_SZY_2012_TABLE_ROW_076,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
441,158,mi-habay,收小米,table 102,mi-,採、收、摘、拔等動作,habay,小米,mi- | habay | 小米 | 採、收、摘、拔等動作,動詞化功能，產生 | mi- 植物詞 | 探、收、摘、拔等 | 441 | mi-habay〔 mi-小米〕（收小米） | （名詞） | 動作,AKIW_SZY_2012_TABLE_ROW_090,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
442,158,mi-balaut,抓青蛙,table 102,mi-,抓、捕、撿等動作,balaut,青蛙,mi- | balaut | 青蛙 | 抓、捕、撿等動作,mi- 動物詞 | 動詞化功能，產生 | 442 | mi-balaut〔mi-青蛙〕（抓青蛙） | （名詞） | 抓、捕、撿等動作,AKIW_SZY_2012_TABLE_ROW_098,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
443,158,mi-badahung,蓋屋頂,table 102,mi-,建造的動作,badahung,屋頂,mi- | badahung | 屋頂 | 建造的動作,mi-建物（名 | 動詞化功能，產生 | < | 443 | mi-badahung（ mi-屋頂〕（蓋屋頂） | 建造的動作 | 詞）,AKIW_SZY_2012_TABLE_ROW_106,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
444,158,mi-kabi,喝湯,table 102,mi-,吸、喝的動作,kabi,湯,mi- | kabi | 湯 | 吸、喝的動作,mi-液體（名 | 動詞化功能，產生 | 444 | mi-kabi［mi-湯〕（喝湯） | 吸、喝的動作 | 詞）,AKIW_SZY_2012_TABLE_ROW_110,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
