status,seq,page,affix_form,affix_function_zho,affix_source,form,meaning_zho,base_form,base_meaning_zho,source_context,raw_ocr,note,retained_xml_id
include,1,53,a-,即將進行,table 13,a-mumul,即將出發,mumul,出發、走,a- | mumul | 出發、走,1 | a- | mumul | 出發、走 | a-mumul,Page-image verified; Vision OCR missed the rightmost meaning cell.,
include,2,53,a-,即將進行,table 13,a-muta',噁心想吐,muta',嘔吐,a- | muta' | 嘔吐,2 | a- | muta' | 嘔吐 | a-muta' | 噁心想吐,,
include,3,53,a-,即將進行,table 13,a-paluma,將要種,paluma,種,a- | paluma | 種,3 | a- | paluma | 種 | a-paluma | 將要種,,
include,4,53,a-,即將進行,table 13,a-tayza,將要去,tayza,去那裏,a- | tayza | 去那裏,4 | a- | tayza | 去那裏 | a-tayza | 將要去,,
include,5,53,a-,即將進行,table 13,a-mayiza,要往某處,mayiza,往某處,a- | mayiza | 往某處,5 | a- | mayiza | 往某處 | a-mayiza | 要往某處20,,
include,6,53,a-,即將進行,table 13,a-mica,要作什麼,mica,什麼,a- | mica | 什麼,6 | a- | mica | 什麼 | a-mica | 要作什麼,,
include,7,53,a-,即將進行,table 13,a-sawni,等一下,sawni,剛,a- | sawni | 剛,7 | a- | sawni | 剛 | a-sawni | 等一下,,
include,8,55,ha-,動詞化,table 15,ha-min,全部,amin,全部的,ha- | amin | 全部的,8 | ha- | amin | 全部的 22 | ha-min 23 | 全部,,
include,9,55,ha-,動詞化,table 15,ha-medac,貪吃,medac,貪吃的,ha- | medac- | 貪吃的,9 | ha- | medac-24 | 貪吃的 | ha-medac | 貪吃,,
include,10,56,ka-,輕微命令,table 17,ka-bilil,要勤快一點！,bilil,勤,ka- | bilil | 勤,10 | ka- | bilil | 勤 | ka-bilil | 要勤快一點！,,
include,11,56,ka-,輕微命令,table 17,ka-dimel,注重衛生！,dimel,乾淨,ka- | dimel- | 乾淨,11 | ka- | dimel- | 乾淨 | ka-dimel | 注重衛生！,,
include,12,56,ka-,輕微命令,table 17,ka-kalamkam,快點！,kalamkam,快,ka- | kalamkam | 快,12 | ka- | kalamkam | 快 | ka-kalamkam | 快點！,,
include,13,56,ka-,輕微命令,table 17,ka-luyaluy,一起！,luyaluy,成群結隊,ka- | luyaluy- | 成群結隊,13 | ka- | luyaluy- | 成群結隊 | ka-luyaluy | 一起！,,
include,14,56,ka-,輕微命令,table 17,ka-nuneng,要溫柔體貼些！,nuneng,安靜、穩重,ka- | nuneng- | 安靜、穩重,14 | ka- | nuneng- | 安靜、穩重 | ka-nuneng | 要溫柔體貼些！27,,
include,15,56,ka-,輕微命令,table 17,ka-tayni,來這裏！,tayni,來,ka- | tayni | 來,15 | ka- | tayni | 來 | ka-tayni | 來這裏！,,
include,16,56,ka-,輕微命令,table 17,ka-tayza,要去！,tayza,去那裏,ka- | tayza | 去那裏,16 | ka- | tayza | 去那裏 | ka-tayza | 要去！,,
include,17,57,ka-,輕微命令,table 17,ka-tineng,會懂得！,tineng,懂得,ka- | tineng- | 懂得,17 | ka- | tineng- | 懂得 | ka-tineng | 會懂得！,,
include,18,57,ka-,輕微命令,table 17,ka-wacay,打赤膊吧！,wacay,赤裸,ka- | wacay | 赤裸,18 | ka- | wacay | 赤裸 | ka-wacay | 打赤膊吧！28,,
include,19,57,ka-,輕微命令,table 17,ka-zahkez,放心吧！,zahkez,放心,ka- | zahkez | 放心,19 | ka- | zahkez | 放心 | ka-zahkez | 放心吧！,,
include,20,58,ka-,突顯、強調，有「很」、「大」之意,table 18,ka-laway,大嘴巴,laway,嘴巴,ka- | laway | 嘴巴,20 | ka- | laway | 嘴巴 | ka-laway | 大嘴巴,,
include,21,58,ka-,突顯、強調，有「很」、「大」之意,table 18,ka-tenes,要很久,tenes,久,ka- | tenes | 久,21 | ka- | tenes | 久 | ka-tenes | 要很久,,
include,22,58,ka-,突顯、強調，有「很」、「大」之意,table 18,ka-tuud,很多,tuud,東西,ka- | tuud | 東西,22 | ka- | tuud | 東西 | ka-tuud | 很多,,
include,23,58,ka-,突顯、強調，有「很」、「大」之意,table 18,ka-udu,大屁股,udu,屁股,ka- | udu | 屁股,23 | ka- | udu | 屁股 | ka-udu | 大屁股,,
include,24,58,ka-,突顯、強調，有「很」、「大」之意,table 18,ka-uning,很髒,uning,髒,ka- | uning | 髒,24 | ka- | uning | 髒 | ka-uning | 很髒,,
include,25,59,ka-,方位,table 19,ka-wanan,右邊,wanan,右,ka- | wanan- | 右,25 | ka- | wanan- | 右 | ka-wanan | 右邊,,
