decision	reviewed_id	baseline_ids	baseline_sha256	form	reason	reviewer	review_date	review_source_sha256
accepted	section_15_first_sermon_sentence_001	section_15_first_sermon_sentence_001	170beac2c8aa19a400b6b85b686b5ba37e1bbaaa5c5a2a2c6f1a3005d7a87963	A Ukattan a ma-akakriél.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_002	section_15_first_sermon_sentence_002	d75d07b6dc1d4a06fb1494ebec3eed45807bb3a7a24608e9cefa424cc69dbc8f	Don o ai-acha allecho attonannan na-a micho don, machó ta Deos inni ma-ai-aab Esaias.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_003	section_15_first_sermon_sentence_003	a269995706dc87b87c56fca9d28dd538f3a5ab8df8a7020d58061a345532372a	Narroa-da tuppo pab'ija namo atite o miniṣar: kapesasa, ta Deos pattonan o arorroai-an don o ai-acha, inau merab alla pedarra tapos sjasjam, ṣini-ṣini a sisjiem ka mitoa zijsja, alla ṣai tumboel o choa don, tump'o choa naan, rorró-no maṣini o choa ranied, ṣo-o me-ach'icho tapos o ai maṣabb'ija decho.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_004	section_15_first_sermon_sentence_004	db7624c2e6bcc6f473af01a3b4a46d32ffb41570151c355de8d6787683d1696c	Masini a don paga, indema mitarróach tapos ocho, barroon a rorró karriaukat.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_005	section_15_first_sermon_sentence_005	bdc1d6641decfd97d0a9e7202edcc6698d2126810d4e61ec09d8b96c4f08bb5f	Dem'ija eachanni o ḡagil naan o Deos, dem'ija ipaba choa airab, dém'ija akaukauan choa adás.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_006	section_15_first_sermon_sentence_006	6f85de1d5e9878261229c63d7556c7866f1be2027764480027868ab0006ca64b	Mai, don o arrorro-ai-an o mini paga channumma don o ai-acha, dem'ija atillan imoa meach'i tamau de boesum, ṣo-o maibas o sisjiem pattonan i ta Deos, namoa tamau tamasea paga de boesum.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_007	section_15_first_sermon_sentence_007	ac7d9b20eb0e785c0a3cd92f39e5d67109eb3ac7bd5b619028ee1c6e6598700b	Dem'imoa mai tumboel i ta Deos inni choa don, alla mamadarram icho rummi-es ṣo-o paga rorró-no ad'inni choa bó-noë.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_008	section_15_first_sermon_sentence_008	01699a1285e53d2c23c6052c0c0bc22fcc4cac7f735b17a6f2616249d657d804	Hai pesor o don o baak o mini, hai pesor o don o lalloog.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_009	section_15_first_sermon_sentence_009	94a8caf832032cb138e3391666ce5b9a911fba769dab46da9b0bb9b55e26c9f7	Maini-éna.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_010	section_15_first_sermon_sentence_010	4cbe88d80fd2da469bc77de1764d4e122eadfadf63182941bdbd286d663eccfe	Alli maibas o roman don o mini.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
