id	source_example	source_locator	segmented_form	gloss	translation_1	translation_2	acceptability	decision
s18a	18a	PDF 6 / printed 6 / example 18a	Pa-pi-nanum ø-ci ina ci mama-an	CAU-PI-water NOM-NCM mother NCM father-DAT	Mother asked Father to drink water.		accepted	Printed null normalized from ∅ to ø and retained in W/M only.
s18b	18b	PDF 6 / printed 6 / example 18b	Pa-pi-kaen-en aku ø-ci panay t-u pawli	CAU-PI-eat-UV 1S.GEN NOM-NCM Panay DAT-NCM banana	I asked Panay to eat banana.		accepted	Printed null normalized from ∅ to ø and retained in W/M only.
s18c	18c	PDF 6 / printed 6 / example 18c	Pa-pi-cikay kaku ci panay-an	CAU-PI-run 1S.NOM NCM Panay-DAT	I ask Panay to run.	I ask Panay to join a race.	accepted	Both source free translations retained; second marked ver=alt.
s18d	18d	PDF 6 / printed 6 / example 18d	Pa-pi-cikay-en aku ø-ci panay-an	CAU-PI-run-UV 1S.GEN NOM-NCM Panay-DAT	I will definitely ask Panay to run.	I will definitely make Panay join the race.	accepted	Both source free translations retained; printed null retained in W/M only.
s20a	20a	PDF 6 / printed 6 / example 20a	Pa-cumud-en k-u haku	CAU-enter-UV NOM-NCM box	Bring the box in!		accepted	Literal grammatical source example.
s20b	20b	PDF 6 / printed 6 / example 20b	Pa-pi-cumud-en k-u wawa	CAU-PI-enter-UV NOM-NCM child	Bring the child in!		accepted	Starred haku alternative and its starred reading excluded.
s20c_person	20c	PDF 6 / printed 6 / example 20c	Pa-rakat-en cingra a paliding	CAU-walk-UV 3S.NOM LNK car	Walk with him! (The causee is a little child.)		accepted	Baseline extraction superseded by Madeline's manual edit: the person variant ends at cingra and the explanatory parenthesis is a translation note.
s20c_car	20c	PDF 6 / printed 6 / example 20c	Pa-rakat-en k-u-ni a paliding	CAU-walk-UV NOM-NCM-this LNK car	Drive this car! (i.e. Make this car run!)		accepted	Baseline extraction superseded by Madeline's manual edit: the i.e. reading is retained as an alternate translation.
s20d	20d	PDF 6 / printed 6 / example 20d	Pa-pi-rakat-en cingra a paliding	CAU-PI-walk-UV 3S.NOM LNK car	Ask him to go to walk!		accepted	Baseline extraction superseded by Madeline's manual edit: the grammatical person variant ends at cingra; the starred car variant is excluded.
s28a	28a	PDF 7 / printed 7 / example 28a	Pa-pi-nengneng-en n-i ina k-u wawa t-u wacu	CAU-PI-see-UV GEN-NCM mother NOM-NCM child DAT-NCM dog	Mother will ask the child to watch the dog.		accepted	Literal grammatical source example; starred 28b excluded.
s30a	30a	PDF 7 / printed 7 / example 30a	Pa-aca kaku t-u cudad i wawa	CAU-buy 1S.NOM DAT-NCM book PREP child	I am going to the child's place to sell the book.	I sell the book to the child.	accepted	Starred t-u case alternative excluded; both unstarred source translations retained.
s30b	30b	PDF 8 / printed 8 / example 30b	Pa-aca kaku t-u cudad i ci aki-an	CAU-buy 1S.NOM DAT-NCM book PREP NCM Aki-DAT	I sold the book to Aki.		accepted	Literal grammatical source example.
s30c	30c	PDF 8 / printed 8 / example 30c	Ma-pa-cakay n-i aki k-u futing ci ofad-an	UV-CAU-buy GEN-NCM Aki NOM-NCM fish NCM Ofad-DAT	Aki sold (other people's) fish to Ofad.		accepted	Literal grammatical source example; starred 30c-prime excluded.
s30d	30d	PDF 8 / printed 8 / example 30d	Ma-pa-aca n-u-ra wawa k-u hana t-u-ra kaying	UV-CAU-buy GEN-NCM-that child NOM-NCM flower DAT-NCM-that young.lady	That child sold flowers to that lady.		accepted	Literal grammatical source example; starred 30d-prime excluded.
s32a	32a	PDF 8 / printed 8 / example 32a	Pa-fli ø-ci mayaw ci aki-an t-u paysu	give NOM-NCM Mayaw NCM Aki-DAT DAT-NCM money	Mayaw is going to give money to Aki.		accepted	Source omits a separate CAU gloss for segmented Pa-fli; no unsupported M split is invented.
s32b	32b	PDF 8 / printed 8 / example 32b	Ma-pa-fli aku t-u paysu ø-ci mayaw	UV-CAU-give 1S.GEN DAT-NCM money NOM-NCM Mayaw	I gave the money to Mayaw already.		accepted	Source abbreviation capitalization normalized from CaU to CAU; null retained in W/M only.
s32c	32c	PDF 8 / printed 8 / example 32c	Ma-pa-fli aku k-u payau ci mayaw-an	UV-CAU-give 1S.GEN NOM-NCM money NCM Mayaw-DAT	I gave the money to Mayaw.		accepted	Starred preposition i omitted with its gloss; source spelling payau retained.
s32d	32d	PDF 8 / printed 8 / example 32d	Aka pa-fli-en k-u wawa	NEG.IMP CAU-give-UV NOM-NCM child	Don't give the child!		accepted	Literal grammatical source example; starred 32f excluded.
s33a	33a	PDF 9 / printed 9 / example 33a	Pa-caliw ø-ci panay ci aki-an t-u paliding	CAU-borrow NOM-NCM Panay NCM Aki-DAT DAT-NCM car	Panay lent the car to Aki.		accepted	Printed null normalized from ∅ to ø and retained in W/M only.
s33b	33b	PDF 9 / printed 9 / example 33b	Ma-pa-caliw n-i kacaw k-u singsi t-u paysu	UV-CAU-borrow GEN-NCM Kacaw NOM-NCM teacher DAT-NCM money	Kacaw lent the teacher money.		accepted	Literal grammatical source example.
s33c	33c	PDF 9 / printed 9 / example 33c	Ma-pa-caliw ni kacaw ku paysu i singsi	UV-CAU-borrow GEN-NCM Kacaw NOM-NCM money PREP teacher	Kacaw lent the money to the teacher.		accepted	Unsegmented source ni and ku retained at W; starred 33d excluded.
s36a	36a	PDF 9 / printed 9 / example 36a	Ma-na'ay kaku pa-nanum t-u sayta	MA-reluctant 1S.NOM CAU-water DAT-NCM soda	I don't want to add water into the soda.		accepted	The t-u form is the generator baseline; Madeline's manual edit adds the printed i/PREP form with this unstarred reading. The starred second reading remains excluded.
