source_example	source_locator	reason	decision
2a	PDF 2 / printed 2 / example 2a	duplicate_source_occurrence	Excluded because both grammatical variants are repeated as example 20c and retained there.
2b	PDF 2 / printed 2 / example 2b	duplicate_source_occurrence	Excluded because its grammatical variant is repeated as example 20d and retained there.
20b-starred-haku	PDF 6 / printed 6 / example 20b	starred_alternative	Excluded because haku and its reading are source-marked ungrammatical.
20d-starred-car	PDF 6 / printed 6 / example 20d	starred_alternative	Excluded because k-u-ni and its translation are source-marked ungrammatical.
28b	PDF 7 / printed 7 / example 28b	source_marked_ungrammatical	Excluded because the source prefixes the entire example with *.
30a-starred-dative	PDF 7 / printed 7 / example 30a	starred_alternative	Excluded because the t-u case alternative is source-marked ungrammatical.
30c-prime	PDF 8 / printed 8 / example 30c-prime	source_marked_ungrammatical	Excluded because the source prefixes the entire example with *.
30d-prime	PDF 8 / printed 8 / example 30d-prime	source_marked_ungrammatical	Excluded because the source prefixes the entire example with *.
32c-starred-preposition	PDF 8 / printed 8 / example 32c	starred_alternative	Excluded because preposition i is source-marked ungrammatical.
32f	PDF 8 / printed 8 / example 32f	source_marked_ungrammatical	Excluded because the source prefixes the entire example with *.
33d	PDF 9 / printed 9 / example 33d	source_marked_ungrammatical	Excluded because the source prefixes the entire example with *.
36a-starred-reading	PDF 9 / printed 9 / example 36a	starred_reading	Excluded only the starred second reading; the printed i/PREP form is retained by Madeline's manual edit with the unstarred reading.
36b	PDF 9 / printed 9 / example 36b	source_marked_ungrammatical	Excluded because the source prefixes the entire example with *.
37c	PDF 10 / printed 10 / example 37c	source_marked_ungrammatical	Excluded because the source prefixes the entire example with *.
38a-prime	PDF 10 / printed 10 / example 38a-prime	source_marked_questionable	Excluded by Madeline's review because the source prefixes the example with ?? and its translation/name alignment is inconsistent.
38c-prime	PDF 10 / printed 10 / example 38c-prime	source_marked_questionable	Excluded by Madeline's review because the source prefixes the example with ?.
