rule_id,file,s_id,character,position,form_before,form_after
c031,XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000006,',29,"Palimo'otay cingra kitaanan, 'aka madenga nonini a hekal,' sanay, mahecad o masowalay isa'ayaw a lalakaw, sasinanoten ita a miliyas ko pinengneng ato harateng no hekal.","Palimo'otay cingra kitaanan, ""aka madenga nonini a hekal,"" sanay, mahecad o masowalay isa'ayaw a lalakaw, sasinanoten ita a miliyas ko pinengneng ato harateng no hekal."
c031,XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000006,',57,"Palimo'otay cingra kitaanan, 'aka madenga nonini a hekal,' sanay, mahecad o masowalay isa'ayaw a lalakaw, sasinanoten ita a miliyas ko pinengneng ato harateng no hekal.","Palimo'otay cingra kitaanan, ""aka madenga nonini a hekal,"" sanay, mahecad o masowalay isa'ayaw a lalakaw, sasinanoten ita a miliyas ko pinengneng ato harateng no hekal."
c031,XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000012,',19,"""Aka pasowal toya, 'nawiro ikaka no aniniay ko nika nga'ay no iti:yaayho a romi'ad saw?'","""Aka pasowal toya, ""nawiro ikaka no aniniay ko nika nga'ay no iti:yaayho a romi'ad saw?"""
c031,XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000012,',87,"""Aka pasowal toya, 'nawiro ikaka no aniniay ko nika nga'ay no iti:yaayho a romi'ad saw?'","""Aka pasowal toya, ""nawiro ikaka no aniniay ko nika nga'ay no iti:yaayho a romi'ad saw?"""
c031,XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000019,',35,"Palimo'otay ko Loma 12:2 kitaanan: 'Aka madenga nonini a hekal, safaelohen ko harateng a mifalic to niyah, ho cipinang to nga'ayay no Kawas, o malefotay kahemekan Ningra a araaw.'","Palimo'otay ko Loma 12:2 kitaanan: ""Aka madenga nonini a hekal, safaelohen ko harateng a mifalic to niyah, ho cipinang to nga'ayay no Kawas, o malefotay kahemekan Ningra a araaw."""
c031,XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000019,',178,"Palimo'otay ko Loma 12:2 kitaanan: 'Aka madenga nonini a hekal, safaelohen ko harateng a mifalic to niyah, ho cipinang to nga'ayay no Kawas, o malefotay kahemekan Ningra a araaw.'","Palimo'otay ko Loma 12:2 kitaanan: ""Aka madenga nonini a hekal, safaelohen ko harateng a mifalic to niyah, ho cipinang to nga'ayay no Kawas, o malefotay kahemekan Ningra a araaw."""
c031,XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000028,',58,"Ano makalimay kita ira ko mahecaday ni Yihofa a harateng, 'aka madenga nonini a hekal.'","Ano makalimay kita ira ko mahecaday ni Yihofa a harateng, ""aka madenga nonini a hekal."""
c031,XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000028,',86,"Ano makalimay kita ira ko mahecaday ni Yihofa a harateng, 'aka madenga nonini a hekal.'","Ano makalimay kita ira ko mahecaday ni Yihofa a harateng, ""aka madenga nonini a hekal."""
c031,XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000037,',23,"Taneng 3:11, 12 sanay: 'Wawaaw ako, aka mana'ay to sarikec ni Yihofa... samanen o kaolahan ni Yihofa a tamdaw mirikecan Ningra.'","Taneng 3:11, 12 sanay: ""Wawaaw ako, aka mana'ay to sarikec ni Yihofa... samanen o kaolahan ni Yihofa a tamdaw mirikecan Ningra."""
c031,XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000037,',127,"Taneng 3:11, 12 sanay: 'Wawaaw ako, aka mana'ay to sarikec ni Yihofa... samanen o kaolahan ni Yihofa a tamdaw mirikecan Ningra.'","Taneng 3:11, 12 sanay: ""Wawaaw ako, aka mana'ay to sarikec ni Yihofa... samanen o kaolahan ni Yihofa a tamdaw mirikecan Ningra."""
