omitted_id,retained_id,reason
GLOSBE_ami_eng_TMEM_U000796,GLOSBE_ami_eng_TMEM_U000688,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U001119,GLOSBE_ami_eng_TMEM_U001056,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U001136,GLOSBE_ami_eng_TMEM_U001067,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U001181,GLOSBE_ami_eng_TMEM_U001070,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U001400,GLOSBE_ami_eng_TMEM_U001364,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U001486,GLOSBE_ami_eng_TMEM_U001114,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U001611,GLOSBE_ami_eng_TMEM_U001571,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U001616,GLOSBE_ami_eng_TMEM_U001572,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U001863,GLOSBE_ami_eng_TMEM_U001800,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002047,GLOSBE_ami_eng_TMEM_U002045,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002111,GLOSBE_ami_eng_TMEM_U002103,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002132,GLOSBE_ami_eng_TMEM_U000759,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002315,GLOSBE_ami_eng_TMEM_U002313,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002337,GLOSBE_ami_eng_TMEM_U001703,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002374,GLOSBE_ami_eng_TMEM_U002262,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002445,GLOSBE_ami_eng_TMEM_U002434,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002447,GLOSBE_ami_eng_TMEM_U002435,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002473,GLOSBE_ami_eng_TMEM_U002454,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002481,GLOSBE_ami_eng_TMEM_U000900,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002487,GLOSBE_ami_eng_TMEM_U002440,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002488,GLOSBE_ami_eng_TMEM_U002448,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002493,GLOSBE_ami_eng_TMEM_U002440,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002495,GLOSBE_ami_eng_TMEM_U002492,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002503,GLOSBE_ami_eng_TMEM_U002440,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002505,GLOSBE_ami_eng_TMEM_U002460,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002680,GLOSBE_ami_eng_TMEM_U002679,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002771,GLOSBE_ami_eng_TMEM_U002755,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
