pdf_page,printed_page,source_content,coverage_decision
74,69,examples 1-2,Hindi excluded; Seediq example 2 included
75,70,examples 3-8,six Seediq examples included
76,71,examples 9-10 (start),Seediq 9 included; Hindi 10 begins
77,72,examples 10-12,Hindi and two Australian-language groups excluded
78,73,examples 13-14,13 and 14b included; starred 14a excluded
79,74,examples 15-17,"15b, 16b, 17a-b included; 15a/16a excluded"
80,75,examples 18-19,four Seediq examples included
81,76,examples 20-24 (start),English 20a-b excluded; Seediq 21-24 included
82,77,examples 24-27,continuation of 24 and examples 25-27 included
83,78,examples 27-29,27 included; 28a-b and 29 excluded
84,79,summary and references,no target-language examples
