xml_id,source_locator,pdf_page,printed_page,example_label,source_ref,source_original,xml_standard,source_gloss,translation,translation_alt,translation_alt_in_xml,word_structure,review_notes,source_id,variant_evidence
tsukida2014_seediq_S001,PDF p. 74; printed p. 69; example (2),74,69,2,article example,Malu ka hiyi=su?,Malu ka hiyisu?,AV.good NOM body=2SG.GEN,Is your body well? How are you?,,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,"First-page visual check confirms the form, gloss, and translation.",tsukida2014_seediq_S001,
tsukida2014_seediq_S002,PDF p. 75; printed p. 70; example (3),75,70,3,article example,deha huliŋ kumu gaga,deha huling kumu gaga,two dog Kumu DIST,Those two dogs of Kumu's,,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,Gloss line aligns with source words.,tsukida2014_seediq_S002,
tsukida2014_seediq_S003,PDF p. 75; printed p. 70; example (4),75,70,4,article example,"Saman 'u, mawsa=nami Tehaypaq da.","Saman 'u, mawsanami Tehaypaq da.",tomorrow PTC AV.FUT.go=1PLEX.NOM Taipei NS,"As for tomorrow, we will go to Taipei.",,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,Source uses PTC in the gloss for 'u.,tsukida2014_seediq_S003,
tsukida2014_seediq_S004,PDF p. 75; printed p. 70; example (5),75,70,5,article example,"Sapah=na 'u, hebaraw ka patas=na.","Sapahna 'u, hebaraw ka patasna.",house=3SG.GEN PRT AV.many NOM book=3SG.GEN,"As for his house, there are many books.",,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,Source uses PRT in the gloss for 'u.,tsukida2014_seediq_S004,
tsukida2014_seediq_S005,PDF p. 75; printed p. 70; example (6),75,70,6,article example,"Laqi gaga 'u, malu.","Laqi gaga 'u, malu.",child DIST PTC AV.good,"As for that child, s/he is good.",,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,The optional constituent is expanded into two reviewed sentence variants with aligned W/M tiers under POL-026.,tsukida2014_seediq_S005,POL-026 base variant omits source-parenthesized ka hiya and its aligned NOM 3SG glosses.
tsukida2014_seediq_S005v2,PDF p. 75; printed p. 70; example (6),75,70,6,article example,"Laqi gaga 'u, malu ka hiya.","Laqi gaga 'u, malu ka hiya.",child DIST PTC AV.good NOM 3SG,"As for that child, s/he is good.",,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,The optional constituent is expanded into two reviewed sentence variants with aligned W/M tiers under POL-026.,tsukida2014_seediq_S005,POL-026 expanded variant includes source-parenthesized ka hiya and its aligned NOM 3SG glosses.
tsukida2014_seediq_S006,PDF p. 75; printed p. 70; example (7),75,70,7,article example,"Kumu 'u, b-en-arig=na laqi=na ka patas niyi.","Kumu 'u, benarigna laqina ka patas niyi.",Kumu PRT CV.PRF-buy=3SG.GEN child=3SG.GEN NOM book PRX,"As for Kumu, she bought this book for her child.",,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,Source example later repeats this as (28a); that duplicate row is excluded.,tsukida2014_seediq_S006,
tsukida2014_seediq_S007,PDF p. 75; printed p. 70; example (8),75,70,8,article example,"Deha laqi niyi 'u, tege'ima ka sewayi=su?","Deha laqi niyi 'u, tege'ima ka sewayisu?",two child PRX PRT which NOM younger.sibling=2SG.GEN,"As for these two children, which is your younger sibling?",,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,Question mark preserved at S-level and stripped from W-level tokenization.,tsukida2014_seediq_S007,
tsukida2014_seediq_S008,PDF p. 76; printed p. 71; example (9),76,71,9,article example,Ga reŋag-an yudaw ga ka lupuŋ 'u pena'ah 'amirika.,Ga rengagan yudaw ga ka lupung 'u pena'ah 'amirika.,DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC from America,The guest to whom that Yudaw is talking over there is from America.,,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,The optional constituent is expanded into two reviewed sentence variants with aligned W/M tiers under POL-026.,tsukida2014_seediq_S008,POL-026 base variant omits source-parenthesized ka lupuŋ gaga and its aligned NOM guest DIST glosses.
tsukida2014_seediq_S008v2,PDF p. 76; printed p. 71; example (9),76,71,9,article example,Ga reŋag-an yudaw ga ka lupuŋ 'u pena'ah 'amirika ka lupuŋ gaga.,Ga rengagan yudaw ga ka lupung 'u pena'ah 'amirika ka lupung gaga.,DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC from America NOM guest DIST,The guest to whom that Yudaw is talking over there is from America.,,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,The optional constituent is expanded into two reviewed sentence variants with aligned W/M tiers under POL-026.,tsukida2014_seediq_S008,POL-026 expanded variant includes source-parenthesized ka lupuŋ gaga and its aligned NOM guest DIST glosses.
tsukida2014_seediq_S009,PDF p. 78; printed p. 73; example (13),78,73,13,article example,"Ga r-em-eŋaw lupuŋ ka yudaw ga 'u, pena'ah 'Amirika.","Ga remengaw lupung ka yudaw ga 'u, pena'ah 'Amirika.",DIST.PRG AV-talk guest NOM Yudaw DIST PTC from America,Yudaw who is speaking to a/the guest is from America.,"* The guest to whom Yudaw is talking to, he is from America.",no,source word/gloss alignment retained; analytical wrappers removed at W edges,"The starred English line marks an impossible interpretation, not an ungrammatical Seediq form. It remains in source evidence but is omitted from XML per reviewer decision.",tsukida2014_seediq_S009,
tsukida2014_seediq_S011,PDF p. 78; printed p. 73; example (14b),78,73,14b,article example,"Sepeg-un rubiq ka patas 'u, b-en-egay tama=na.","Sepegun rubiq ka patas 'u, benegay tamana.",read-GV1 Rubiq NOM book PTC CV.PRF-give father=3SG.GEN,Her father gave (her) this book which Rubiq will read.,,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,Translation appears under subexample b in the source.,tsukida2014_seediq_S011,
tsukida2014_seediq_S013,PDF p. 79; printed p. 74; example (15b),79,74,15b,article example,"Ga reŋag-an yudaw ga ka lupuŋ 'u, m-en-egay patas rebiq-an.","Ga rengagan yudaw ga ka lupung 'u, menegay patas rebiqan.",DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC AV-PRF-give book Rubiq-OBL,The guest to whom Yudaw is talking to will give a/the book to Rubiq.,,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,Source translation retained.,tsukida2014_seediq_S013,
tsukida2014_seediq_S015,PDF p. 79; printed p. 74; example (16b),79,74,16b,article example,"Saw 'adi mpeke-geruŋ ka peratu 'u, berig-un=mu.","Saw 'adi mpekegerung ka peratu 'u, berigunmu.",like NEG AV.FUT-break NOM plate PTC buy-GV1=1SG.GEN,I will buy such a plate as will not break.,,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,Source notes that clause-A is identical in (16b) and (17b).,tsukida2014_seediq_S015,
tsukida2014_seediq_S016,PDF p. 79; printed p. 74; example (17a),79,74,17a,article example,"Saw mpe-takur ka laqi 'u, pelekuh-un=na da.","Saw mpetakur ka laqi 'u, pelekuhunna da.",like AV.FUT-stumble NOM child PTC support-GV1=3SG.GEN NS,"When the child is likely to stumble, he supports the child.",He supported the child who was likely to stumble.,yes,source word/gloss alignment retained; analytical wrappers removed at W edges,Source supplies temporal and correlative interpretations; second translation is emitted as ver=alt.,tsukida2014_seediq_S016,
tsukida2014_seediq_S017,PDF p. 79; printed p. 74; example (17b),79,74,17b,article example,"Saw 'adi mpeke-geruŋ ka peratu 'u, seku-'un=mu kulu.","Saw 'adi mpekegerung ka peratu 'u, seku'unmu kulu.",like NEG AV.FUT-break NOM plate PTC put-GV1=1SG.GEN box,I put the plate in a box lest it should break.,,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,Source compares this clause-A with example (16b).,tsukida2014_seediq_S017,
tsukida2014_seediq_S018,PDF p. 80; printed p. 75; example (18a),80,75,18a,article example,Wada qeduriq ka se'diq [p-en-huqil rebiq-an].,Wada qeduriq ka se'diq [penhuqil rebiqan].,is.gone AC.escape NOM person AV.PRF-kill Rubiq-OBL,The person who killed Rubiq escaped away.,,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,Source heading identifies this as External RC. Square brackets marking the external relative-clause span are preserved in sentence-level original FORM; W/M emission is suppressed. The source prints one shared translation after (18b).,tsukida2014_seediq_S018,
tsukida2014_seediq_S019,PDF p. 80; printed p. 75; example (18b),80,75,18b,article example,Wada qeduriq ka [p-en-huqil rebiq-an ka se'diq].,Wada qeduriq ka [penhuqil rebiqan ka se'diq].,is.gone AV.escape NOM AV.PRF-kill Rubiq-OBL NOM person,The person who killed Rubiq escaped away.,,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,Source heading identifies this as Internal RC. Square brackets marking the internal relative-clause span are preserved in sentence-level original FORM; W/M emission is suppressed. The source prints one shared translation after (18b).,tsukida2014_seediq_S019,
tsukida2014_seediq_S020,PDF p. 80; printed p. 75; example (19a),80,75,19a,article example,S-em-en-teruŋ=ku se'diq [m-en-uway patas rebiq-an].,Sementerungku se'diq [menuway patas rebiqan].,AV-PRF-meet=1SG.NOM person AV-PRF-give book Rubiq-OBL,I met [the man who gave Rubiq a book].,,n/a,source word/gloss alignment retained; analytical wrappers removed at W edges,Source square brackets in the target form and translation are preserved; W/M emission is suppressed. The source appends the analytical label (externally-headed RC) after the translation.,tsukida2014_seediq_S020,
