source_id,source_locator,page,entry_block_record,source_target_language_text,translation,translation_alt,translation_alt_in_xml,omitted_translation_reason,gloss,extraction_method,confidence_review_note,included_in_xml,exclusion_reason,final_xml_filename,final_s_id
excluded_001,PDF p. 74; printed p. 69; example (1),74,example 1,"Jis a:dmi ka kutta bema:r hai, us a:dmi ko mai ne dekha.",I saw the man whose dog is sick.,"Which man's dog is sick, that man I saw.",n/a,,COREL man GEN dog sick is that man DO I ERG saw,embedded text plus complete rendered-page review,"Excluded from XML because it is a Hindi comparison example, not Seediq target data.",no,"Excluded from XML because it is a Hindi comparison example, not Seediq target data.",,
tsukida2014_seediq_S001,PDF p. 74; printed p. 69; example (2),74,example 2,Malu ka hiyi=su?,Is your body well? How are you?,,n/a,,AV.good NOM body=2SG.GEN,embedded text plus complete rendered-page review,"First-page visual check confirms the form, gloss, and translation.",yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S001
tsukida2014_seediq_S002,PDF p. 75; printed p. 70; example (3),75,example 3,deha huliŋ kumu gaga,Those two dogs of Kumu's,,n/a,,two dog Kumu DIST,embedded text plus complete rendered-page review,Gloss line aligns with source words.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S002
tsukida2014_seediq_S003,PDF p. 75; printed p. 70; example (4),75,example 4,"Saman 'u, mawsa=nami Tehaypaq da.","As for tomorrow, we will go to Taipei.",,n/a,,tomorrow PTC AV.FUT.go=1PLEX.NOM Taipei NS,embedded text plus complete rendered-page review,Source uses PTC in the gloss for 'u.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S003
tsukida2014_seediq_S004,PDF p. 75; printed p. 70; example (5),75,example 5,"Sapah=na 'u, hebaraw ka patas=na.","As for his house, there are many books.",,n/a,,house=3SG.GEN PRT AV.many NOM book=3SG.GEN,embedded text plus complete rendered-page review,Source uses PRT in the gloss for 'u.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S004
tsukida2014_seediq_S005,PDF p. 75; printed p. 70; example (6),75,example 6,"Laqi gaga 'u, malu (ka hiya).","As for that child, s/he is good.",,n/a,,child DIST PTC AV.good NOM 3SG,embedded text plus complete rendered-page review,Source optionality parentheses around ka hiya are preserved in the sentence-level original FORM; W/M emission is suppressed because the analytical span makes safe token alignment ambiguous.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S005
tsukida2014_seediq_S006,PDF p. 75; printed p. 70; example (7),75,example 7,"Kumu 'u, b-en-arig=na laqi=na ka patas niyi.","As for Kumu, she bought this book for her child.",,n/a,,Kumu PRT CV.PRF-buy=3SG.GEN child=3SG.GEN NOM book PRX,embedded text plus complete rendered-page review,Source example later repeats this as (28a); that duplicate row is excluded.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S006
tsukida2014_seediq_S007,PDF p. 75; printed p. 70; example (8),75,example 8,"Deha laqi niyi 'u, tege'ima ka sewayi=su?","As for these two children, which is your younger sibling?",,n/a,,two child PRX PRT which NOM younger.sibling=2SG.GEN,embedded text plus complete rendered-page review,Question mark preserved at S-level and stripped from W-level tokenization.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S007
tsukida2014_seediq_S008,PDF p. 76; printed p. 71; example (9),76,example 9,Ga reŋag-an yudaw ga ka lupuŋ 'u pena'ah 'amirika (ka lupuŋ gaga).,The guest to whom that Yudaw is talking over there is from America.,,n/a,,DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC from America NOM guest DIST,embedded text plus complete rendered-page review,Source optionality parentheses around ka lupuŋ gaga are preserved in the sentence-level original FORM; W/M emission is suppressed because the analytical span makes safe token alignment ambiguous.,yes,,tsukida_2014_correlative_clauses_in_seediq.xml,tsukida2014_seediq_S008
excluded_002,PDF pp. 76-77; printed pp. 71-72; example (10),76-77,example 10,"Jis a:dmi ka kutta bema:r hai, us a:dmi ko mai ne dekha.",I saw the man whose dog is sick.,"Which man's dog is sick, that man I saw.",n/a,,COREL man GEN dog sick is that man DO I RF saw,embedded text plus complete rendered-page review,"Excluded from XML because it repeats the Hindi comparison example, not Seediq target data.",no,"Excluded from XML because it repeats the Hindi comparison example, not Seediq target data.",,
