source_locator,page,entry_or_record,target_language_text,translation,gloss,extraction_method,review_note,included_in_xml,exclusion_reason,final_xml_filename,final_s_id
PDF p. 395; printed p. 402; example (1),395,1,ma-faðaq m-apa buna masa kawi.,I know how to carry sweet potatoes and firewoodon my back.,AF-know AF-carry.on.back sweet.potatoes and firewood,embedded text plus rendered-page manual review,Printed run-together translation preserved exactly.,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S001
PDF p. 395; printed p. 402; example (2),395,2,ma-faðaq pa-tun-ruða masa pitʔia.,"I know how to steer a boat, and to cook.",AF-know CAUS-ride-boat and cook,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S002
PDF p. 395; printed p. 402; example (3),395,3,ma-faðaq ma-didir paðay masa q<m>aʃiʃi ðaʃuq.,I know how to husk rice and sift rice.,AF-know AF-husk grain and sift<AF> rice,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S003
PDF p. 395; printed p. 402; example (4),395,4,"uka-yða sa ina ama, numa ma-kasim a t<un>maða.","Having no mother or father, then (one is) sad listening (to the songs)",not.have-ALR DET mother father then STA-sad LIG hear<AF>,embedded text plus rendered-page manual review,Printed translation has no terminal period.,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S004
PDF p. 395; printed p. 402; example (5),395,5,"numa maniun ya miku-ki-náy, u-tusi-wan maniun mita a taun, m-ara sa fa-finʃiq a paðay, buna, ɬari, suksuk, makamun pu-náy maɬuyða.","If you (pl) like to live here, go to our houses to bring the seeds of rice, sweet potatoes, taros, ginger (and) pepper to plant here.",then you.pl if want-stay-here go-there-please you.pl our LIG house AF-bring DET RED-sow LIG rice sweet.potato taro ginger pepper CAUS-here AF.plant,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S005
PDF p. 396; printed p. 403; example (6),396,6,paʃtay mu-náy sa ayuði numa aðaðak a-tiʃ-an maqa a-ma-kaliŋkin sa but.,All men and boys must come to have (their sleeves) rubbed to stay healthy.,all come-here DET man and child IRR-rub-LF so.that IRR-AF-healthy DET body,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S006
PDF p. 396; printed p. 403; example (7),396,7,numa i-náy-ða yaku tu min-faðaq maʃ-babiar numa min-paraw numa ma-qa-quyaʃ.,"And here I learned how to strike (the ground) with a pestle, dance and sing.",then LOC-here-ALR I TU INCH-know strike-pestle and MIN-dance and AF-RED-song,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S007
PDF p. 396; printed p. 403; example (8),396,8,"numa sa ma-puði-puði a qnuan mu-saðum, ma-kuna maŋ-kaθi, numa uka-yða ʃaktu-n.","Then the white deer went into the water, going over to the other side, and then disappeared.",then DET STA-RED-white LIG deer go-water AF-go.to MAN-there and/then not-ALR visible-PF,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S008
PDF p. 397; printed p. 404; example (9),397,9,"yutu s suma wa θaw, numa suma wa θaw ʃ<uŋ>kaʃ.","Some people stayed there, while the others were afraid.",there DET some LIG erson and/then some LIG person fear<AF>,embedded text plus rendered-page manual review,Printed gloss typo preserved exactly under POL-036.,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S009
PDF p. 397; printed p. 404; example (10),397,10,"sa suma ʃ<uŋ>kaʃ mapa-ʔuʃa, numa sa suma mapa-ʔu-ʃuqiʃ.","Some were frightened and ran away, while the others returned.",DET some fear<AF> COLL-go and/then DET some COLL-go-return,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S010
PDF p. 397; printed p. 404; example (11),397,11,"m<in>aɬi-ʔaðaðak-iða makθin a qali, m-uʃa-yða mu-buhat.","Ten days after having a baby, (the mother) goes to work.",AF<PFV>give.birth-child-ALR ten LIG day AF-go-ALR go-work,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S011
PDF p. 397; printed p. 404; example (12),397,12,numawan antu ma-kaliŋkin sa but.,"(She is), therefore, not healthy.",therefore not STA-strong DET body,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S012
PDF p. 397; printed p. 404; example (13),397,13,"numa puʃa-n yamin, numawan manʃa sa funfun ɬay itan.","Then we released him, so they brought seeds as gifts to us.",then release-PF we therefore AF.give.gift DET seeds give we/OBL,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S013
PDF p. 397; printed p. 404; example (14),397,14,"ya ma-ʔania, numawan ðay-n sa θaw, a-malan-ta-tnur.","If capable (of shooting, they) were then asked to compete by the people.",if STA-capable therefore ask-PF DET people IRR-MALAN-RED-practice,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S014
PDF p. 398; printed p. 405; example (15),398,15,"maqa ya s<m>apuk sa ɬkaribuʃ, ma-θuaw undu-an.",Because (he) was very capable when (he) was catching wildanimals,because when catch<AF> DET wild.animal STA-very capable-LF,embedded text plus rendered-page manual review,Printed run-together translation and missing terminal period preserved exactly.,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S015
PDF p. 398; printed p. 405; example (16),398,16,"maqa a-saran-an ya mu-ʃuqiʃ, pa-tqa-tqal-an.",(They) kept making marks so that (they) could find their way back.,so.that IRR-road-LF when AF-return CAUS-RED-mark-LF,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S016
PDF p. 398; printed p. 405; example (17),398,17,"numa iðáy ɬa-ɬawʃin a fafaw quθquθ-an minabút, maqa antu a-m-utun, maqa a-ma-daqri ya iðáy a fa ɬawʃin-an.","Then the top of this swing is tied with rice straw, so that (it) won't break, so that this creeper swing will be smooth when swung.",then that RED-swing LIG above tie-LF straw so.that not IRR-AF-break so.that IRR-STA-smooth if that LIG creeper swing-LF,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S017
PDF p. 398; printed p. 405; example (18),398,18,"maqa ma-tiŋ-qaran mun-ɬawʃin, maqa antu ma-qirið ya mu-buhat.","To go swinging so that one is happy, so that one does not get tired if/when working in the field.",so.that STA-TIN-happy MUN-swing so.that not STA-tired if/when go-field,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S018
PDF p. 398; printed p. 405; example (19),398,19,"numa ya m<in>u-lalu-yða, k<m>an afu.","If/When the ceremony is over, (we) eat cooked rice.",then if/when AF<PFV>hold-ceremony-ALR eat<AF> rice,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S019
PDF p. 398; printed p. 405; example (20),398,20,m-ayaw sa θaw ya antu mu-tantu.,(I would have been) sorry to people if (I had) not gone there.,STA-shy DET person if not go-there,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S020
PDF p. 399; printed p. 406; example (21),399,21,myaðáy a malan-ta-tnur t<m>aðam ya tima sa ma-ʔania panaq sa iðáy ɬpaðiSan.,"For such a practice, it was to test to see who was capable of shooting with an arrow.",in.that.way LIG MALAN-RED-practice test<AF> COMP who DET STA-capable shoot DET that arrow,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S021
PDF p. 399; printed p. 406; example (22),399,22,"maqa tu kahiwan ma-θuaw antu pidara ya s<m>iwsiw, antu ma-rarabaða.",People in the past took a magic (a ritual ceremony) very seriously; they did not allow it to be slighted.,because DET formerly STA-very not pardon COMP do.magic<AF> not STA-joke,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S022
PDF p. 399; printed p. 406; example (23),399,23,"iðáy binanawʔað, ya itiða sa rarifið, ʃi-na-haðiʃ-uan, kanun-iða suma wa binanawʔað ya ɬquðan.","When the wooden plate of ancestors arrives, women should stay away, in case someone should be pregnant.",that woman when arrive DET plate go-to-far-please in.case-ALR some LIG woman COMP pregnant,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S023
PDF p. 399; printed p. 406; example (24),399,24,"numa mataŋ-kaktun-iða, parʃian ya ma-qa-quyaʃ ʃa-ʃayla wa quyaʃ.","When all is over, to keep singing and dancing for the ritual ceremony is forbidden.",then MATAN-finish-ALR taboo COMP AF-RED-sing RED-perform LIG song,embedded text plus rendered-page manual review,visually reviewed,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S024
PDF p. 399; printed p. 406; footnote 7 example (1),399,fn7-1,a muʃa iDa yaku ya saqaDi.,I'll leave this noon,,embedded text plus rendered-page manual review,Footnote 7 quotes this Thao example from Blust 2003; no gloss line or terminal period is provided.,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S025
PDF p. 399; printed p. 406; footnote 7 example (2),399,fn7-2,ya ʃaʃanu maθuaw waDaqan maharbuk.,In the morning the lake is very foggy,,embedded text plus rendered-page manual review,Footnote 7 quotes this Thao example from Blust 2003; no gloss line or terminal period is provided.,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S026
PDF p. 399; printed p. 406; footnote 7 example (3),399,fn7-3,hadana ita iDa ya aDaDak.,Let's adopt a child,,embedded text plus rendered-page manual review,Footnote 7 quotes this Thao example from Blust 2003; no gloss line or terminal period is provided.,yes,,li_2014_conjunction_in_thao.xml,li2014_thao_S027
PDF p. 394; printed p. 401,394,page coverage,,,,rendered-page review,whole page inventoried,no,"title, introduction, rights notice; no example utterances",,
PDF p. 400; printed p. 407,400,page coverage,,,,rendered-page review,whole page inventoried,no,summary prose only; no quoted Thao utterances,,
PDF p. 401; printed p. 408,401,page coverage,,,,rendered-page review,whole page inventoried,no,"frequency table contains counts, not utterances",,
PDF p. 402; printed p. 409,402,page coverage,,,,rendered-page review,whole page inventoried,no,references only; no Thao utterances,,
