xml_id,source_locator,pdf_page,printed_page,example_label,source_ref,source_original,standard_form,translation,gloss,notes
li2014_thao_S001,PDF p. 395; printed p. 402; example (1),395,402,1,5-7,ma-faðaq m-apa buna masa kawi.,mafaðaq mapa buna masa kawi.,I know how to carry sweet potatoes and firewood on my back.,AF-know AF-carry.on.back sweet.potatoes and firewood,"OCR/source text omitted a space in ""firewood on""; corrected in translation only."
li2014_thao_S002,PDF p. 395; printed p. 402; example (2),395,402,2,5-8,ma-faðaq pa-tun-ruða masa pitʔia.,mafaðaq patunruða masa pitʔia.,"I know how to steer a boat, and to cook.",AF-know CAUS-ride-boat and cook,
li2014_thao_S003,PDF p. 395; printed p. 402; example (3),395,402,3,5-2,ma-faðaq ma-didir paðay masa q<m>aʃiʃi ðaʃuq.,mafaðaq madidir paðay masa qmaʃiʃi ðaʃuq.,I know how to husk rice and sift rice.,AF-know AF-husk grain and sift<AF> rice,
li2014_thao_S004,PDF p. 395; printed p. 402; example (4),395,402,4,2-3,"uka-yða sa ina ama, numa ma-kasim a t<un>maða.","ukayða sa ina ama, numa makasim a tunmaða.","Having no mother or father, then (one is) sad listening (to the songs).",not.have-ALR DET mother father then STA-sad LIG hear<AF>,
li2014_thao_S005,PDF p. 395; printed p. 402; example (5),395,402,5,4-21,"numa maniun ya miku-ki-náy, u-tusi-wan maniun mita a taun, m-ara sa fa-finʃiq a paðay, buna, ɬari, suksuk, makamun pu-náy maɬuyða.","numa maniun ya mikukináy, utusiwan maniun mita a taun, mara sa fafinʃiq a paðay, buna, ɬari, suksuk, makamun punáy maɬuyða.","If you (pl) like to live here, go to our houses to bring the seeds of rice, sweet potatoes, taros, ginger (and) pepper to plant here.",then you.pl if want-stay-here go-there-please you.pl our LIG house AF-bring DET RED-sow LIG rice sweet.potato taro ginger pepper CAUS-here AF.plant,
li2014_thao_S006,PDF p. 396; printed p. 403; example (6),396,403,6,8-10,paʃtay mu-náy sa ayuði numa aðaðak a-tiʃ-an maqa a-ma-kaliŋkin sa but.,paʃtay munáy sa ayuði numa aðaðak atiʃan maqa amakaliŋkin sa but.,All men and boys must come to have (their sleeves) rubbed to stay healthy.,all come-here DET man and child IRR-rub-LF so.that IRR-AF-healthy DET body,
li2014_thao_S007,PDF p. 396; printed p. 403; example (7),396,403,7,1-5,numa i-náy-ða yaku tu min-faðaq maʃ-babiar numa min-paraw numa ma-qa-quyaʃ.,numa ináyða yaku tu minfaðaq maʃbabiar numa minparaw numa maqaquyaʃ.,"And here I learned how to strike (the ground) with a pestle, dance and sing.",then LOC-here-ALR I TU INCH-know strike-pestle and MIN-dance and AF-RED-song,
li2014_thao_S008,PDF p. 396; printed p. 403; example (8),396,403,8,4-7,"numa sa ma-puði-puði a qnuan mu-saðum, ma-kuna maŋ-kaθi, numa uka-yða ʃaktu-n.","numa sa mapuðipuði a qnuan musaðum, makuna maŋkaθi, numa ukayða ʃaktun.","Then the white deer went into the water, going over to the other side, and then disappeared.",then DET STA-RED-white LIG deer go-water AF-go.to MAN-there and/then not-ALR visible-PF,
li2014_thao_S009,PDF p. 397; printed p. 404; example (9),397,404,9,37-25,"yutu s suma wa θaw, numa suma wa θaw ʃ<uŋ>kaʃ.","yutu s suma wa θaw, numa suma wa θaw ʃuŋkaʃ.","Some people stayed there, while the others were afraid.",there DET some LIG person and/then some LIG person fear<AF>,"Corrected OCR/source text gloss ""erson"" to ""person""."
li2014_thao_S010,PDF p. 397; printed p. 404; example (10),397,404,10,37-26,"sa suma ʃ<uŋ>kaʃ mapa-ʔuʃa, numa sa suma mapa-ʔu-ʃuqiʃ.","sa suma ʃuŋkaʃ mapaʔuʃa, numa sa suma mapaʔuʃuqiʃ.","Some were frightened and ran away, while the others returned.",DET some fear<AF> COLL-go and/then DET some COLL-go-return,
li2014_thao_S011,PDF p. 397; printed p. 404; example (11),397,404,11,10-16,"m<in>aɬi-ʔaðaðak-iða makθin a qali, m-uʃa-yða mu-buhat.","minaɬiʔaðaðakiða makθin a qali, muʃayða mubuhat.","Ten days after having a baby, (the mother) goes to work.",AF<PFV>give.birth-child-ALR ten LIG day AF-go-ALR go-work,
li2014_thao_S012,PDF p. 397; printed p. 404; example (12),397,404,12,10-17,numawan antu ma-kaliŋkin sa but.,numawan antu makaliŋkin sa but.,"(She is), therefore, not healthy.",therefore not STA-strong DET body,
li2014_thao_S013,PDF p. 397; printed p. 404; example (13),397,404,13,33-34,"numa puʃa-n yamin, numawan manʃa sa funfun ɬay itan.","numa puʃan yamin, numawan manʃa sa funfun ɬay itan.","Then we released him, so they brought seeds as gifts to us.",then release-PF we therefore AF.give.gift DET seeds give we/OBL,
li2014_thao_S014,PDF p. 397; printed p. 404; example (14),397,404,14,39-51,"ya ma-ʔania, numawan ðay-n sa θaw, a-malan-ta-tnur.","ya maʔania, numawan ðayn sa θaw, amalantatnur.","If capable (of shooting, they) were then asked to compete by the people.",if STA-capable therefore ask-PF DET people IRR-MALAN-RED-practice,
