example_record_id,page_number_one_based,example_label_raw,parse_warnings
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0013,28,(6) a.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0014,28,(6) b.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0020,29,(7) d..2,recovered_second_sentence_from_commentary
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0030,30,(9) g.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0031,31,(10) a.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0033,31,(10) c.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0036,32,(11) a.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0040,32,(11) e.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0048,33,(12),form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0052,34,(13),missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0055,34,(14),form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0067,37,(19) a.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0068,37,(19) b.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0069,38,(20) a.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0070,38,(20) b.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0088,41,(25) c.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0089,41,(25) d.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0094,42,(26) c.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0109,54,(1) a.1,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0110,54,(1) a.2,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0111,54,(1) a.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0112,54,(1) b.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0113,55,(1) b.1,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0114,55,(1) b.2,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0115,55,(1) c.1,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0116,55,(1) c.2,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0117,55,(1) d.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0118,55,(1) e.1,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0119,55,(1) e.2,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0120,55,(1) f.1,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0121,55,(1) f.2,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0122,56,(1) g.1,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0123,56,(1) g.2,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0124,56,(1) h.1,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0125,56,(1) h.2,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0126,57,(3) a.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0127,57,(3) b.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0128,57,(3) c.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0129,57,(3) d.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0130,57,(3) e.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0131,58,(4) a.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0132,58,(4) b.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0133,60,(5) a.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0134,60,(5) b.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0135,61,(5) c.,chapter2_compound_special_parser
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0144,64,(10),missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0145,64,(11),missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0146,64,(8),form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0147,65,(12),missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0148,65,(13),missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0149,65,(14),missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0150,65,(15),missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0151,65,(12),form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0154,66,(16),form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0158,68,(20),form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0160,68,(21),form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0161,71,(1) a.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0162,71,(1) b.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0163,72,(1) c.,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0185,79,(11) b.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0188,79,(12) c.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0197,82,(16) c.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0205,84,(20) b.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0214,87,(24) b.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0220,88,(26) c.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0232,92,(31) b.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0255,108,(34),missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0257,109,(35) b.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0267,119,(41) a.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0269,119,(41),form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0270,119,(42) a.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0272,119,(42),form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0273,119,(43) a.,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0275,120,(43),form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0289,127,(5) a.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0294,129,(7) b.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0297,130,(8) c.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0316,140,(17) a.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0317,140,(17) b.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0318,140,(18) a.,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0321,144,(19) a.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0322,144,(19) b.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0323,145,(19) a.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0324,145,(19) b.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0325,146,(20) a.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0326,146,(20) b.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0327,147,(21) a.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0328,147,(21) b.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0329,152,(1) a.,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0330,152,(1) b.,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0331,152,(2) a.,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0332,152,(2) b.,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0333,153,(3) a.,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0334,153,(3) b.,form_contains_cjk
