example_record_id,page_number_one_based,example_label_clean,truku_line_clean,chinese_translation_clean,rejection_reason,notes
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0017,29,(7) b.,* Mu ka patas nii.,這本書是我的。,ungrammatical_starred_form,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0029,30,(9) f.,*M-taqi =na ka hiya.,他要睡覺。,ungrammatical_starred_form,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0044,32,(11) i.,Isu o malu tunux. =,例 11a,cross_reference_only_not_source_free_translation,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0045,32,(11) j.,Babuy gaga o aji nhiya. =,例 11b,cross_reference_only_not_source_free_translation,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0046,32,(11) k.,Lowking o m-sipaq knan. =,例 11c,cross_reference_only_not_source_free_translation,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0047,32,(11) l.,Patas gaga o n-tama. =,例 11e,cross_reference_only_not_source_free_translation,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0048,33,(12),主事焦點為 m-,主要語意角色有主事者(12a)、客體(12b)、經驗者(12c)等。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0052,34,(13),主事焦點為 em-,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0055,34,(14),主事焦點為-m-,主語的語意角色可以是主事者(14a)或客體(14b)。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0067,37,(19) a.,imah,,missing_source_published_chinese_translation,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0068,37,(19) b.,mah-un,,missing_source_published_chinese_translation,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0069,38,(20) a.,patas,,missing_source_published_chinese_translation,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0070,38,(20) b.,ptas-un,作業 (要寫的東西),isolated_affix_lexeme_or_morphology_record_sidecar_only,missing_chinese_free_translation; split_embedded_translation_from_gloss
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0136,61,(6) a.,bukung,領導者、統治者,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0137,62,(6) b.,m-klawa,照顧者,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0138,62,(7) a.,quyu,蛇,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0139,62,(7) b.,qowlit,老鼠,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0140,63,(7) c.,kacing,牛,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0141,63,(7) d.,ruru,鴨,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0142,64,(8),sari,芋頭,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0143,64,(9),usik,辣椒,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0144,64,(10),豆類：beyluh (豆)、gisang (萊豆)、nuqaw (碗豆)、sungut (樹豆)、layan (綠豆)。,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
