id	source_locator	pdf_page	printed_page	example_label	source_ref	included	original	gloss	translation	notes
li2014_thao_S001	PDF p. 395; printed p. 402; example (1)	395	402	1	5-7	yes	ma-faðaq m-apa buna masa kawi.	AF-know AF-carry.on.back sweet.potatoes and firewood	I know how to carry sweet potatoes and firewood on my back.	OCR/source text omitted a space in "firewood on"; corrected in translation only.
li2014_thao_S002	PDF p. 395; printed p. 402; example (2)	395	402	2	5-8	yes	ma-faðaq pa-tun-ruða masa pitʔia.	AF-know CAUS-ride-boat and cook	I know how to steer a boat, and to cook.
li2014_thao_S003	PDF p. 395; printed p. 402; example (3)	395	402	3	5-2	yes	ma-faðaq ma-didir paðay masa q<m>aʃiʃi ðaʃuq.	AF-know AF-husk grain and sift<AF> rice	I know how to husk rice and sift rice.
li2014_thao_S004	PDF p. 395; printed p. 402; example (4)	395	402	4	2-3	yes	uka-yða sa ina ama, numa ma-kasim a t<un>maða.	not.have-ALR DET mother father then STA-sad LIG hear<AF>	Having no mother or father, then (one is) sad listening (to the songs).
li2014_thao_S005	PDF p. 395; printed p. 402; example (5)	395	402	5	4-21	yes	numa maniun ya miku-ki-náy, u-tusi-wan maniun mita a taun, m-ara sa fa-finʃiq a paðay, buna, ɬari, suksuk, makamun pu-náy maɬuyða.	then you.pl if want-stay-here go-there-please you.pl our LIG house AF-bring DET RED-sow LIG rice sweet.potato taro ginger pepper CAUS-here AF.plant	If you (pl) like to live here, go to our houses to bring the seeds of rice, sweet potatoes, taros, ginger (and) pepper to plant here.
li2014_thao_S006	PDF p. 396; printed p. 403; example (6)	396	403	6	8-10	yes	paʃtay mu-náy sa ayuði numa aðaðak a-tiʃ-an maqa a-ma-kaliŋkin sa but.	all come-here DET man and child IRR-rub-LF so.that IRR-AF-healthy DET body	All men and boys must come to have (their sleeves) rubbed to stay healthy.
li2014_thao_S007	PDF p. 396; printed p. 403; example (7)	396	403	7	1-5	yes	numa i-náy-ða yaku tu min-faðaq maʃ-babiar numa min-paraw numa ma-qa-quyaʃ.	then LOC-here-ALR I TU INCH-know strike-pestle and MIN-dance and AF-RED-song	And here I learned how to strike (the ground) with a pestle, dance and sing.
li2014_thao_S008	PDF p. 396; printed p. 403; example (8)	396	403	8	4-7	yes	numa sa ma-puði-puði a qnuan mu-saðum, ma-kuna maŋ-kaθi, numa uka-yða ʃaktu-n.	then DET STA-RED-white LIG deer go-water AF-go.to MAN-there and/then not-ALR visible-PF	Then the white deer went into the water, going over to the other side, and then disappeared.
li2014_thao_S009	PDF p. 397; printed p. 404; example (9)	397	404	9	37-25	yes	yutu s suma wa θaw, numa suma wa θaw ʃ<uŋ>kaʃ.	there DET some LIG person and/then some LIG person fear<AF>	Some people stayed there, while the others were afraid.	Corrected OCR/source text gloss "erson" to "person".
li2014_thao_S010	PDF p. 397; printed p. 404; example (10)	397	404	10	37-26	yes	sa suma ʃ<uŋ>kaʃ mapa-ʔuʃa, numa sa suma mapa-ʔu-ʃuqiʃ.	DET some fear<AF> COLL-go and/then DET some COLL-go-return	Some were frightened and ran away, while the others returned.
li2014_thao_S011	PDF p. 397; printed p. 404; example (11)	397	404	11	10-16	yes	m<in>aɬi-ʔaðaðak-iða makθin a qali, m-uʃa-yða mu-buhat.	AF<PFV>give.birth-child-ALR ten LIG day AF-go-ALR go-work	Ten days after having a baby, (the mother) goes to work.
li2014_thao_S012	PDF p. 397; printed p. 404; example (12)	397	404	12	10-17	yes	numawan antu ma-kaliŋkin sa but.	therefore not STA-strong DET body	(She is), therefore, not healthy.
li2014_thao_S013	PDF p. 397; printed p. 404; example (13)	397	404	13	33-34	yes	numa puʃa-n yamin, numawan manʃa sa funfun ɬay itan.	then release-PF we therefore AF.give.gift DET seeds give we/OBL	Then we released him, so they brought seeds as gifts to us.
li2014_thao_S014	PDF p. 397; printed p. 404; example (14)	397	404	14	39-51	yes	ya ma-ʔania, numawan ðay-n sa θaw, a-malan-ta-tnur.	if STA-capable therefore ask-PF DET people IRR-MALAN-RED-practice	If capable (of shooting, they) were then asked to compete by the people.
li2014_thao_S015	PDF p. 398; printed p. 405; example (15)	398	405	15	32-9	yes	maqa ya s<m>apuk sa ɬkaribuʃ, ma-θuaw undu-an.	because when catch<AF> DET wild.animal STA-very capable-LF	Because (he) was very capable when (he) was catching wild animals.	OCR/source text omitted a space in "wild animals"; corrected in translation only.
li2014_thao_S016	PDF p. 398; printed p. 405; example (16)	398	405	16	4-5	yes	maqa a-saran-an ya mu-ʃuqiʃ, pa-tqa-tqal-an.	so.that IRR-road-LF when AF-return CAUS-RED-mark-LF	(They) kept making marks so that (they) could find their way back.
li2014_thao_S017	PDF p. 398; printed p. 405; example (17)	398	405	17	6-9	yes	numa iðáy ɬa-ɬawʃin a fafaw quθquθ-an minabút, maqa antu a-m-utun, maqa a-ma-daqri ya iðáy a fa ɬawʃin-an.	then that RED-swing LIG above tie-LF straw so.that not IRR-AF-break so.that IRR-STA-smooth if that LIG creeper swing-LF	Then the top of this swing is tied with rice straw, so that (it) won't break, so that this creeper swing will be smooth when swung.
