language,ilrdf_headword,corrupted_word,branch_sentence_id,full_sentence
Kanakanavu,kara,sinat?ʼesi,Kanakanavu_976,ʼuna kara sinat?ʼesi na pangka marisinat??
Kanakanavu,kara,cuʼ?can?,Kanakanavu_983,"noo tarasangai cuʼ?can? ia, tavaraʼ? kara ku arapipiningi?"
Kanakanavu,kara,s?p?s?p?r??n,Kanakanavu_993,"s?p?s?p?r??n kee,ʼuna kara niaraʼakia?"
Kanakanavu,karaʼauan,maku?saʼoʼo,Kanakanavu_1030,"karaʼauan ʼau isi, tuturuo ku makananu nipoʼucipa maku?saʼoʼo kara? karaʼauan!"
Kanakanavu,kasʉ,kasuʼapac?ʼ?raʼiseeng,Kanakanavu_1098,pakavura kasuʼapac?ʼ?raʼiseeng.
Kanakanavu,makananu,kacangaraʼ?na,Kanakanavu_1647,"ʼitumuru tavaraʼ?a in kacangaraʼ?na, makai makananu sikai matianai, mataa niaranai nanu sua cau ivaatu?"
Kanakanavu,neni,nipak?n?a,Kanakanavu_3253,neni nipak?n?a kamua tamu?
Kanakanavu,nipaakusa,Samusoong?miseen,Kanakanavu_3946,nipaakusa musu naan Samusoong?miseen ʼakia tanasa?
Kanakanavu,pakʉnnanu,pak?nnanuʼapuiri?,Kanakanavu_4404,tia musu pak?nnanuʼapuiri?
Kanakanavu,racʉcʉna,ʼumooʼuma?miseen,Kanakanavu_5009,ʼacuu naan nimoon nesi ʼumooʼuma?miseen racʉcʉna cu masiin?
Kanakanavu,ravai,Husung?ʼesi,Kanakanavu_5062,"ʼesi kara sian ravai maku Husung?ʼesi tikiriim ʼikua misee, koo pa kim ʼarupacʉʼʉra."
Kanakanavu,ʼaparisinaua,kuacapa?aripapiningoo,Kanakanavu_7290,ʼesi naan tia ʼaparisinaua musu ʼAvia kuacapa?aripapiningoo!
Kanakanavu,ʼapusuʼanoon,musu?ʼapusuʼanoon,Kanakanavu_7825,tia kara pakiituru manu musu?ʼapusuʼanoon ʼinia taʼʉʉn isa.
Saaroa,hlipatʉahlʉ,tumamahl?ng?ʼarivunguana?,Saaroa_1202,ngahlaisa hlipat?ahl? tumamahl?ng?ʼarivunguana?
Saaroa,i,ariiat?k?ranana,Saaroa_1340,ma i liliunga ariiat?k?ranana saliiau?
Saaroa,i,kulit?n?m??,Saaroa_1362,macahliau i upiaini a ngahlana kulit?n?m??
Saaroa,macua,inipaitat?ahlani?,Saaroa_2340,macua pahlumiiamiiaisa kaniʼi ia inipaitat?ahlani?
Tsou,cmoehu,temuʼah?y?,Tsou_808,"mo cmoehu maitanʼe, temuʼah?y? toatmops??"
Tsou,emoo,aem?h?ʼo,Tsou_1135,ta tonsoha maitanʼe. mo aem?h?ʼo cono emoo to amovoyu ho iʼmi ne taipahu ho maineʼe.
Tsou,hicu,topeoh?ʼo,Tsou_1650,"hote ahoi meesi, la topeoh?ʼo mameoi ta conoemoo, ho mʼea a?tʼ?ca no hicu ta pepeʼemo conoemoo."
Tsou,homeyaya,bobohng?ʼoʼoʼoko,Tsou_1737,"tena noteuyunu ho poa yupa bobohng?ʼoʼoʼoko, pasunaeno,ʼotole, ho peeseniʼe homeyaya."
Tsou,kakatu,"bumemeal?ʼsio,ʼotesʼa",Tsou_1997,"bumemeal?ʼsio,ʼotesʼa mumzo to hʼoepona to kakatu."
Tsou,otaseoni,poec?ʼva,Tsou_3779,poec?ʼva aʼo ho poa otaseoni.
Tsou,puzu,taʼpangn?ʼva,Tsou_4570,"oʼa isi taʼpangn?ʼva hote ausuhcu yafeuʼo puzu,"
