source_locator,source_item,target_text,translation_or_gloss,included_in_xml,exclusion_reason,final_xml_path,final_s_id
"dingding蝸牛.pdf: PDF page 2 (Paiwan); PDF page 32, Chinese paragraph 1 (Chinese)",dingding row 1,"u paqenetjen ka qaqunuan na'en, nu kadjamadjaman ru vaik a kidingding ti kina.",記得小時候，媽媽常在清晨時去撿蝸牛。,yes,,XML/Paiwan/DingDing.xml,S1
"dingding蝸牛.pdf: PDF page 4 (Paiwan); PDF page 32, Chinese paragraph 2 (Chinese)",dingding row 2,"sumaya nu meljay a qudjalj, marevuci a dingding a tjekacauan itua cemecemelen, i kasikasiven a muri kakanen.",尤其雨天過後，草叢和樹林很多蝸牛會跑出來覓食。,yes,,XML/Paiwan/DingDing.xml,S2
"dingding蝸牛.pdf: PDF page 6 (Paiwan); PDF page 32, Chinese paragraph 3 (Chinese)",dingding row 3,"uli tjevuta tu kemin tua ravarava katua qalialian, ita, drusa, tjelu, na maqaqeveqevet a nama qepuqepu.",有的跑出來找男女朋友，1、2、3 對抱在一起。,yes,,XML/Paiwan/DingDing.xml,S3
"dingding蝸牛.pdf: PDF page 8 (Paiwan); PDF page 32, Chinese paragraph 4 (Chinese)",dingding row 4,"aya ti kina: izuatu kadjamadjaman, pacunan a dingding i vavaw tua ricing nua kasiw. uli u saliman a malap!",她說有一天清晨，看見一隻蝸牛在一棵小樹上，她正要伸手。,yes,,XML/Paiwan/DingDing.xml,S4
"dingding蝸牛.pdf: PDF page 10 (Paiwan); PDF page 32, Chinese paragraph 5 (Chinese)",dingding row 5,"palemeklja u pacunan a kalicikic a ita, na kitjalik tua ricing nua kasiw.",忽然看見一條青竹絲，纏繞在樹枝上。,yes,,XML/Paiwan/DingDing.xml,S5
"dingding蝸牛.pdf: PDF page 12 (Paiwan); PDF page 32, Chinese paragraph 6 (Chinese)",dingding row 6,mingtjus aken sake kadjaljaw a mavilad. kemasi zuanga ti kina ika paradjama anga.,她嚇了一跳急忙離開，從那次以後媽媽說再也不敢摸黑撿蝸牛了。,yes,,XML/Paiwan/DingDing.xml,S6
"dingding蝸牛.pdf: PDF page 14 (Paiwan); PDF page 32, Chinese paragraph 7 (Chinese)",dingding row 7,"nu nacemedas a qadaw. tiamadju kiqilja sema tua na malaic a asaw nua kasiw, sa kicereduk tua upu a qaciljay.",平常天氣晴朗的時候，牠們會躲在枯葉裡面或是石頭堆積的牆。,yes,,XML/Paiwan/DingDing.xml,S7
"dingding蝸牛.pdf: PDF page 16 (Paiwan); PDF page 32, Chinese paragraph 8 (Chinese)",dingding row 8,"izua tu qemudjaqudjalj, na vaik aken a ljemulju tu liaw ta dingding.",有一天，我也去撿了好幾隻蝸牛。,yes,,XML/Paiwan/DingDing.xml,S8
"dingding蝸牛.pdf: PDF page 18 (Paiwan); PDF page 32, Chinese paragraph 9 (Chinese)",dingding row 9,aya u kina: nu maka kidingding tjen. tja paqenetjen a pilima.,媽媽跟我說，撿完蝸牛記得要洗手。,yes,,XML/Paiwan/DingDing.xml,S9
"dingding蝸牛.pdf: PDF page 20 (Paiwan); PDF page 32, Chinese paragraph 10 (Chinese)",dingding row 10,ti kina pecungu sa lemalja tusi sal tua dingding. a paki tjaula tua laiq.,媽媽用熱水把蝸牛汆燙，把黏液洗掉。,yes,,XML/Paiwan/DingDing.xml,S10
"dingding蝸牛.pdf: PDF page 22 (Paiwan); PDF page 32, Chinese paragraph 11 (Chinese)",dingding row 11,"au calaing a pinizuanan tua ljaljikan, kamangulj kata ljameljam, masane sanguanguaq a djamay.",之後用九層塔、辣椒、生薑炒，變成是桌上的一道佳餚。,yes,,XML/Paiwan/DingDing.xml,S11
"dingding蝸牛.pdf: PDF page 24 (Paiwan); PDF page 32, Chinese paragraph 12 (Chinese)",dingding row 12,"aicu a dingding sinan pazangal a masanitalj nua se kacalisian a kakanen, azua liaw atja ka manguaqen.",蝸牛一直是原住民很重要的食物之一，因為牠的營養價值很高。,yes,,XML/Paiwan/DingDing.xml,S12
"dingding蝸牛.pdf: PDF page 26 (Paiwan); PDF page 32, Chinese paragraph 13 (Chinese)",dingding row 13,a pi qinaljan tjengelay a keman tucu a djamay.,部落裡的人都很喜歡吃這一道菜。,yes,,XML/Paiwan/DingDing.xml,S13
"dingding蝸牛.pdf: PDF page 28 (Paiwan); PDF page 32, Chinese paragraph 14 (Chinese)",dingding row 14,"ljakua tucu malaluanga kemakan, aza tjialj nimadju masaneliavan a baiking.",但是現在吃的人越來越少，因為牠的肚子裡充滿細菌。,yes,,XML/Paiwan/DingDing.xml,S14
"dingding蝸牛.pdf: PDF page 30 (Paiwan); PDF page 32, Chinese paragraph 15 (Chinese)",dingding row 15,"a dingding kasicuayan maqati a sane raceven, tucu aza laiq maqati a siki valeljevelj tua mudingan!",蝸牛以前除了可以賣錢維生，現在牠的黏液卻可以用來敷臉!,yes,,XML/Paiwan/DingDing.xml,S15
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 2 (Paiwan); PDF page 32, Chinese paragraph 1 (Chinese)",kavatjes row 1,"izua za kavatjes ni vuvu, liaw a pinitaladj.",vuvu 有一個籃子，裡面藏了很多東西。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S1
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 4 (Paiwan); PDF page 32, Chinese paragraph 2 (Chinese)",kavatjes row 2,nu pasa sainu kakacuing.,無論走到哪裡，她都會帶著。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S2
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 6 (Paiwan); PDF page 32, Chinese paragraph 3 (Chinese)",kavatjes row 3,"izua siqunu, qavu.",有小刀和石灰。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S3
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 8 (Paiwan); PDF page 32, Chinese paragraph 4 (Chinese)",kavatjes row 4,izua cakel kata asaw.,有荖藤和荖葉。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S4
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 10 (Paiwan); PDF page 32, Chinese paragraph 5 (Chinese)",kavatjes row 5,izua saviki kata sipu saluman a pudju.,有檳榔和增加香氣的植物。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S5
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 12 (Paiwan); PDF page 32, Chinese paragraph 6 (Chinese)",kavatjes row 6,nu kemaljavaljava tua djidusia. seman savikiviki timadju.,她等車的時候會開始包檳榔。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S6
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 14 (Paiwan); PDF page 32, Chinese paragraph 7 (Chinese)",kavatjes row 7,utauta ramaljeng anga ljakua djemulu anan a mapu.,她雖然老了但是牙齒還是咬得動。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S7
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 16 (Paiwan); PDF page 32, Chinese paragraph 8 (Chinese)",kavatjes row 8,aza italjatj izuanan a qungecuy kata qecap.,有菸斗和叉具。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S8
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 18 (Paiwan); PDF page 32, Chinese paragraph 9 (Chinese)",kavatjes row 9,"tjengelay ti vuvu a tjemamaku, sa izua talem a paulin.",vuvu 喜歡抽菸，所以自己種了菸草。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S9
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 20 (Paiwan); PDF page 32, Chinese paragraph 10 (Chinese)",kavatjes row 10,"drasiven a asaw sa numetad, luteluten sa tjamakuy.",菸草曬乾後，就捲成圓形。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S10
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 22 (Paiwan); PDF page 32, Chinese paragraph 11 (Chinese)",kavatjes row 11,kasicuayan a ramaljemaljeng tjengelay a maciuciul a maljaval sa tjemamakumaku.,以前的老人家很喜歡一起抽菸聊天。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S11
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 24 (Paiwan); PDF page 32, Chinese paragraph 12 (Chinese)",kavatjes row 12,tucu numasepelj timadju qemungcuy a pucidilj.,他們還會用菸頭來處理嘴破皮的傷口。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S12
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 26 (Paiwan); PDF page 32, Chinese paragraph 13 (Chinese)",kavatjes row 13,nu maqavu tiamadju ki iluqan a qungecuy sa djuasan a namaqavu a kisusaqetjuan.,現在她無聊的時候，常常一個人抽菸。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S13
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 28 (Paiwan); PDF page 32, Chinese paragraph 14 (Chinese)",kavatjes row 14,izua nimadju a pinilimalimain a dingua.,還有一台老人機，,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S14
"kavatjes ni vuvu奶奶的寶物.pdf: PDF page 30 (Paiwan); PDF page 32, Chinese paragraph 15 (Chinese)",kavatjes row 15,"nu singelit tjanu aken, padinguan pasa taihuku a kisa singelitan tjanu aken a kalakudakuda.",想念時就會打電話給在台北工作的我。,yes,,XML/Paiwan/kavatjes_ni_vuvu.xml,S15
"maljialjian a qaciljay(black stone).doc: Word document page 1, table row 1 (Paiwan); Word document page 1, table row 1 (Chinese)",maljialjian row 1,aicu a qecengecengel a qaciljay.,這是一顆黑色的石頭。,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S1
"maljialjian a qaciljay(black stone).doc: Word document page 1, table row 2 (Paiwan); Word document page 1, table row 2 (Chinese)",maljialjian row 2,"ita, drusa, tjelu, sepatj, lima, unem, izua unem a qecengecengel a qaciljay, a kinaqaca kata kinakedri maretimalji.",1、2、3、4、5、6，有6顆黑色的石頭，每一個形狀和大小都不一樣。,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S2
"maljialjian a qaciljay(black stone).doc: Word document page 1, table row 3 (Paiwan); Word document page 1, table row 3 (Chinese)",maljialjian row 3,"pasusaceqalj nu tja djadjasen pitua kaviaqan, ika maru sadjelung uta.",拿在手上感覺輕輕的，一點也不重。,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S3
"maljialjian a qaciljay(black stone).doc: Word document page 1, table row 4 (Paiwan); Word document page 1, table row 4 (Chinese)",maljialjian row 4,"ti kapi kivadaq tjaivuvu ""vuvu, aicu a qaciljay sikudakuda ?""",kapi問＂奶奶，這顆石頭是做什麼用的?＂,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S4
"maljialjian a qaciljay(black stone).doc: Word document page 1, table row 5 (Paiwan); Word document page 1, table row 5 (Chinese)",maljialjian row 5,"peluseq ti vuvu ka lemangeda, mapaqenetj a sinecevungan a sepaleqelegan kasicuayan.",奶奶突然流下眼淚，想起過去發生的事情。,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S5
"maljialjian a qaciljay(black stone).doc: Word document page 1, table row 6 (Paiwan); Word document page 1, table row 6 (Chinese)",maljialjian row 6,izua tu caviljan na djemuljadjuljat a i qinaljan.,有一年部落正舉辦五年祭，,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S6
"maljialjian a qaciljay(black stone).doc: Word document page 1, table row 7 (Paiwan); Word document page 1, table row 7 (Chinese)",maljialjian row 7,"tjaukaljia ti vuvu a uqaljay na kemadrangu, sa masi dramiya uri vaik a pasa vavua a kalakuda.",爺爺一大早就揹著簍筐，帶著鐮刀往山裡去工作。,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S7
"maljialjian a qaciljay(black stone).doc: Word document page 1, table row 8 (Paiwan); Word document page 1, table row 8 (Chinese)",maljialjian row 8,"djemavadjavac a gemadugaduan, manu tjevuta za ita qatjuvi sa kaci a pikuzkuzan ti vuvu.",有一隻蛇跑出來咬傷了爺爺的腳踝。,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S8
