story	sequence	s_id	legacy_id	source_filename	original_locator	translation_locator	notes	original	translation
dingding	1	S1	S1	dingding蝸牛.pdf	PDF page 2	PDF page 32, Chinese paragraph 1		u paqenetjen ka qaqunuan na'en, nu kadjamadjaman ru vaik a kidingding ti kina.	記得小時候，媽媽常在清晨時去撿蝸牛。
dingding	2	S2	S2	dingding蝸牛.pdf	PDF page 4	PDF page 32, Chinese paragraph 2		sumaya nu meljay a qudjalj, marevuci a dingding a tjekacauan itua cemecemelen, i kasikasiven a muri kakanen.	尤其雨天過後，草叢和樹林很多蝸牛會跑出來覓食。
dingding	3	S3	S3	dingding蝸牛.pdf	PDF page 6	PDF page 32, Chinese paragraph 3		uli tjevuta tu kemin tua ravarava katua qalialian, ita, drusa, tjelu, na maqaqeveqevet a nama qepuqepu.	有的跑出來找男女朋友，1、2、3 對抱在一起。
dingding	4	S4	S4	dingding蝸牛.pdf	PDF page 8	PDF page 32, Chinese paragraph 4		aya ti kina: izuatu kadjamadjaman, pacunan a dingding i vavaw tua ricing nua kasiw. uli u saliman a malap!	她說有一天清晨，看見一隻蝸牛在一棵小樹上，她正要伸手。
dingding	5	S5	S5	dingding蝸牛.pdf	PDF page 10	PDF page 32, Chinese paragraph 5		palemeklja u pacunan a kalicikic a ita, na kitjalik tua ricing nua kasiw.	忽然看見一條青竹絲，纏繞在樹枝上。
dingding	6	S6	S6	dingding蝸牛.pdf	PDF page 12	PDF page 32, Chinese paragraph 6		mingtjus aken sake kadjaljaw a mavilad. kemasi zuanga ti kina ika paradjama anga.	她嚇了一跳急忙離開，從那次以後媽媽說再也不敢摸黑撿蝸牛了。
dingding	7	S7	S7	dingding蝸牛.pdf	PDF page 14	PDF page 32, Chinese paragraph 7		nu nacemedas a qadaw. tiamadju kiqilja sema tua na malaic a asaw nua kasiw, sa kicereduk tua upu a qaciljay.	平常天氣晴朗的時候，牠們會躲在枯葉裡面或是石頭堆積的牆。
dingding	8	S8	S8	dingding蝸牛.pdf	PDF page 16	PDF page 32, Chinese paragraph 8		izua tu qemudjaqudjalj, na vaik aken a ljemulju tu liaw ta dingding.	有一天，我也去撿了好幾隻蝸牛。
dingding	9	S9	S9	dingding蝸牛.pdf	PDF page 18	PDF page 32, Chinese paragraph 9		aya u kina: nu maka kidingding tjen. tja paqenetjen a pilima.	媽媽跟我說，撿完蝸牛記得要洗手。
dingding	10	S10	S10	dingding蝸牛.pdf	PDF page 20	PDF page 32, Chinese paragraph 10		ti kina pecungu sa lemalja tusi sal tua dingding. a paki tjaula tua laiq.	媽媽用熱水把蝸牛汆燙，把黏液洗掉。
