4,ʔisaniʻ ka ʔömäh kakhayzaʔan ʻorok.,original,
5,here ka land ago hill.,original,
8,ʻoʻ maybiʔil ka wasal kašnaʔitol ray ʔömäh.,original,
9,and after-then ka sea rise on land.,original,
12,mäʔiyäh saböh sasəzek ilah ray wasal.,original,
13,man all sink already in sea.,original,
16,riʔsazaʻ ʔähäʔ ka tatiniʔ komošaʻ,original,
17,thereupon one ka old-man says.,original,
20,"""ʔäbäh! ʔitaʔ ʔamaʻokaʔ ilah ka mäʔiyäh""",original,
21,“My-God! we (incl.) will-perish already ka man”,original,
24,"ay ""ta taböʔ ilah söʔhäʔ ka mäʔiyäh ray ʻokoʔ.",original,
25,ay “let-us load already one-man ka man on pirogue.,original,
28,ʻoʻ päʔäloraniʻ ilah ka wasal.,original,
29,and let-it-drift already ka sea.,original,
32,"šoʻ raynoʔ kasʔöhäz, kayzäh.",original,
33,"you where go, good.",original,
36,"mäyhāl hayzaʔaʻ ka binšiʔ.""",original,
37,future exist ka seed”,original,
40,ka ʻokoʔ noka ralom ʔarašan oʻ potŋor ilah papak.,original,
41,ka pirogue by water be-carried-away and arrive already Papak.,original,
44,papak hayzaʻ košan heʻ ʔöpöh-na-boʻoŋ komošaʻ,original,
45,Papak exist be-said he ʔöpöh-na-bo‘oŋ says.,original,
48,"ʔay, ""hizaʻ ʻimakanoʔ ʔinarol hizaʻ""",original,
49,ay “that what was-drifted that”,original,
52,"mariʔin riʔsazaʻ, päʔaltikən kitaʔən ray ʻokoʔ",original,
53,"be-taken thereupon, be-opened be-seen in pirogue",original,
56,"ʔay, ""hiniʻ ka mäʔiyähay""",original,
57,ay “this ka man”,original,
60,"ʔay, ""šoʻ nakʔisazaʻ, hiniʻ ray ʔömäh ta mäʔiyäh ʻokaʔ ilah.",original,
61,"ay “you then, this in land our man none already.",original,
64,hiniʻ ka mäʔiyäh mariʔaw mitaʔ oʻ pakonhöyhaw ilah ka mäʔiyäh tasʔölaw.,original,
65,this ka man let's-take by-us let's-it-reproduce already ka man let's-it-be-born.,original,
68,"takʔalʔalroraw ka mäʔiyäh mäyhāl.""",original,
69,let's-it-make-as-before ka man future.”,original,
72,riʔsaʻ ka mäʔiyäh hiwhiwaʔən ilah.,original,
73,that ka man be-cut-into-pieces already.,original,
76,hiwaʔən oʻ ʔäʔäpolon ilah ka mäʔiyäh šinrähöʔ.,original,
77,be-cut and be-divided already ka man races.,original,
80,ka ʻotöh košaʻan šiʔösaʻ ray wasal.,original,
81,ka bowels be-said be-thrown in sea.,original,
84,hiniʻ ka ʻotöh ka motoʻ.,original,
85,this ka bowels ka Chinese.,original,
88,boriʻ šäyšiyat.,original,
89,flesh Saisiyat.,original,
92,böʔöl šaypapaʻaš.,original,
93,bone Atayal.,original,
96,"ʻoʻ šiʔösaʻ ray wasal ʻoʻ šiŋaʔŋaʔ ilah, ʻoʻ ʻonähŋəʻ ilah.",original,
97,"and be-thrown in sea and soon already, and long-time already.",original,
100,"ka wasal, hiniʻ ka ralom, kitaʔən mäʔših ilah.",original,
101,"ka sea, this ka water, be-seen ebb-tide already.",original,
