corpus,file,s_id,n_quotation,n_ambiguous,n_transl,form_original,transl
NTUFormosanCorpus,Corpora/NTUFormosanCorpus/XML/Stories/Amis/Amis_Amis_Nr-frog_cinhua.xml,Amis_Nr-frog_cinhua_S_14,0,3,2,itini i hakini tuna 'pung sa'an ku falucu' nira a miceli'.,"「是否在這個洞裡呢?」他這樣說,呼叫著. || 'Is it inside this hole?' he said so and called."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000037,0,1,1,"Taneng 3:11, 12 sanay: 'Wawaaw ako, aka mana'ay to sarikec ni Yihofa... samanen o kaolahan ni Yihofa a tamdaw mirikecan Ningra.'","""My son, do not reject the discipline of Jehovah... for those whom Jehovah loves he reproves,"" says Proverbs 3:11, 12."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000141,0,1,1,"So'lin ano caka pasowal cangra, latek mamatira ci Tafitian ko harateng nangra: 'Nanay pahemeken no tamdaw kiso to nika citanengay kiso!'","Whether they verbalize it or not, they may feel like David, who said: ""Blessed be your good sense!"""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000252,0,3,1,"Ano mifalahan mipatayan no tamdaw ci Yis, wa misamaan a malo 'ta'enengan a fakeloh no loma'' cingra hani?","If Jesus was rejected and killed, how could he become ""the chief cornerstone""?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000268,0,2,1,"Matira o sapali'ayaw no Fangcalay Cudad, ci Yihofa naitiniay i 'kasakitakit, kasangasaw, kasafinacadan' palisopsop to 'alomanay a tamdaw, o ""masasi romaromaay ko sowal nangra,"" mala o ""ci'icelay a kitakit"", mata'lifayto ko 800 a 'ofad ko ka'aloman nangra.","As the Bible foretold, Jehovah is gathering ""a great crowd... out of all nations and tribes and peoples and tongues."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000303,0,2,1,"O roma mihongyakan a Fangcalay Cudad, o 'cango'otay' mihongyakan to ""awaay ko kapo"", ""awaay ko epoc,"" ""cowa ko kalimelaan.""","In other Bible translations, the word for ""beggarly"" is rendered ""useless,"" ""bankrupt,"" ""destitute,"" and ""miserable."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000320,0,2,1,O sowal no Fangcalay Cudad o matiniay tamdaw 'macepetay no acang no hekal' cangra.,"The phrase ""lovers of pleasures"" aptly describes those who are ""carried away by... pleasures of this life."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000329,0,2,1,"Kawra, oni Yihofa kita, mihaenay patalipa'elalay ko Fangcalay Cudad kitaanan 'falahen ko caka ngodo a faloco' ato coos no hekal, toni lekakawa matatodong ko harateng, moecel, mangodo ko ka'orip.'","Yet, because we belong to Jehovah, we are admonished to ""reject ungodliness and worldly desires and to live with soundness of mind and righteousness and godly devotion amid this present system of things."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000423,0,1,1,Sowal no Fangcalay Cudad: 'O mafolaay miapohay to faloco'no wawa.',"The Bible says that ""foolishness is bound up in the heart of a child."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000477,0,1,1,"Saka 2 Korinto 3:17, sanay ko sowal, 'icowaay ko fangcalay saocor ni Yihofa, iraay ko pasalat itira.'","As stated at 2 Corinthians 3:17, ""where the spirit of Jehovah is, there is freedom."""
