language	source_id	printed_page	source_form	gloss	source_translation_eng	translation_readings_eng_json	source_note	admission_status	exclusion_reason	xml_record_source_id	xml_id	pdf_page
Amis	1a	254	mi-maan ci panay?	AV-do.what NCM PN	What is Panay doing?	"[""What is Panay doing?""]"		admitted		1a	S_amis_001	2
Amis	1b	254	na maan-en isu k-u-ra wacu?	PST do.what-PV 2SG.ERG ABS-CN-that dog	What did you do to that dog?	"[""What did you do to that dog?""]"		admitted		1b	S_amis_002	2
Kavalan	2a	254	q‹um›uni=isu tangi?	<AV>do.what=2SG.ABS just.now	What were you doing just now?	"[""What were you doing just now?""]"		admitted		2a	S_kavalan_001	2
Kavalan	2b	254	quni-an na wasu ya saku ’nay?	do.what-PV ERG dog ABS cat that	What does the dog do to that cat?	"[""What does the dog do to that cat?""]"		admitted		2b	S_kavalan_002	2
Kavalan	2c	254	quni-an-su m-kala ya sunis a yau?	do.how-PV-2SG.ERG AV-find ABS child LNK that	How do you find that child?	"[""How do you find that child?""]"		admitted		2c	S_kavalan_003	2
Kavalan	3a	254	tanian-an-su ya kelisiw-su?	where-PV-2SG.ERG ABS money-2SG.GEN	Where do you put your money?	"[""Where do you put your money?""]"		admitted		3a	S_kavalan_004	2
Kavalan	3b	255	* tanian-an-su q‹m›an tu/ya babuy?	where-PV-2SG.ERG <AV>eat OBL/ABS pig	Where do you eat pork?	"[""Where do you eat pork?""]"	Source marks this example ungrammatical and labels the translation as intended.	excluded	source-marked ungrammatical example excluded under POL-016			3
Kavalan	4a	255	tanian q‹m›an=isu tu babuy?	where <AV>eat=2SG.ABS OBL pig	Where do you eat pork?	"[""Where do you eat pork?""]"		admitted		4a	S_kavalan_005	3
Kavalan	4b	255	tanian tanuz-an na tuliq ya wasu?	where chase-PV ERG bee ABS dog	Where do the bees chase the dog?	"[""Where do the bees chase the dog?""]"		admitted		4b	S_kavalan_006	3
Kavalan	4c	255	tanuz-an na tuliq ya wasu tanian?	chase-PV ERG bee ABS dog where	Where do the bees chase the dog?	"[""Where do the bees chase the dog?""]"		admitted		4c	S_kavalan_007	3
Amis	5a	255	icuwa-en isu k-u payci?	where-PV 2SG.ERG ABS-CN money	Where do you put the money?	"[""Where do you put the money?""]"		admitted		5a	S_amis_003	3
