source_locator,reader_page,example_label,target_text,translation,gloss_or_segmentation,method,confidence_review_note,included,exclusion_reason,final_xml_path,final_s_id
page-047,47,3-1a,nipu’a kee sua pa’ici.,酒他買的。,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 47; subexample label and punctuation restored from image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0001
page-047,47,3-1b,te musu kunun tammi isi.,你要吃這個地瓜。,,Direct comparison against official page image and positioned text XML,Recovered from page image; official candidate extraction omitted subexample,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0002
page-047,47,3-1c,koo musu kunun tammi isi.,你沒有吃這個地瓜。,,Direct comparison against official page image and positioned text XML,Recovered from page image; official candidate extraction omitted subexample,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0003
page-047,47,3-1d,manu musu,你的小孩。,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 47,no,Noun phrase rather than a complete sentence,,
page-047,47,3-1e,manu tarukuka in,他的雞的小孩。,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 47,no,Noun phrase rather than a complete sentence,,
page-067,67,4-1,’esi marivura’ʉ na seto sua takituturua.,老師打學生。,,Direct comparison against official page image and positioned text XML,Restored spacing before na and final punctuation from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0004
page-067,67,4-2,te maku arivura’ʉn sua tacau isa.,我要打那隻狗。,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 67,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0005
page-067,67,4-3,te ku tikirimi karu. tia siarivura’ʉ cau isa.,我要找木頭，用來打那個人。,,Direct comparison against official page image and positioned text XML,Restored the printed clause boundary and spaces; replacement character was punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0006
page-067,67,4-4,tanasʉn mia miana sua Na’usurana.,藤苞山是我們以前的部落。,,Direct comparison against official page image and positioned text XML,Removed footnote marker 13 from machine translation and restored punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0007
page-068,68,4-5,’esi rumaravisi cʉnʉ tee Saupu.,Saupu他們在拔草。,,Direct comparison against official page image and positioned text XML,Restored spaces and final punctuation from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0008
page-068,68,4-6,ka’anʉ ’itúmuru kari Pani.,Pani話不多。,,Direct comparison against official page image and positioned text XML,Restored space after negative marker and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0009
page-068,68,4-7,koo pa Pusinga si’icʉpʉ.,Pusinga還沒睡。,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 68,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0010
page-068,68,4-8,"sua cani isi ia, muiara ’usu.",這首歌叫《’usu慢走》。,,Direct comparison against official page image and positioned text XML,Restored space before quoted name and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0011
page-069,69,4-9,"rorovana ia, upeni takananga kasu kumakʉnʉ?",晚上你幾點吃飯？,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 69,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0012
