source_locator,reader_page,candidate_count,coverage_status,review_note
page-001,1,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-002,2,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-003,3,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-004,4,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-005,5,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-006,6,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-007,7,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-008,8,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-009,9,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-010,10,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-011,11,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-012,12,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-013,13,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-014,14,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-015,15,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-016,16,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-017,17,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-018,18,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-019,19,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-020,20,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-021,21,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-022,22,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-023,23,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-024,24,0,REVIEWED_NO_EXAMPLES,Front matter contents and usage material contain no bilingual full-sentence examples
page-025,25,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-026,26,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-027,27,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-028,28,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-029,29,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-030,30,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-031,31,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-032,32,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-033,33,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-034,34,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
