token,count,category,in_attestation_dict,n_files,example_file,example_sentence_id,example_context
knita',183,final,no,183,Albania.xml,0,…jiyax 24pnrajing kmlawa klwaan. cinkhulan sa knita' sa brbiru'. ArpaniyaKonhekow(kari Arpaniya: …
brbiru',181,final,no,181,Albania.xml,0,…rajing kmlawa klwaan. cinkhulan sa knita' sa brbiru'. ArpaniyaKonhekow(kari Arpaniya: Republika e …
'sediq,13,initial,no,5,Macedonia.xml,0,"…dxral nniqan dha u mdhu bay lnglungan rmngaw 'sediq Makedon' ka dhiya (""Macedonians"", ji Greece:…"
'',12,isolated,no,6,China.xml,0,"… knbrawan na we hmrinas 4000 koncu, kesn daha'' knloh alang bobo deheran '' ; daha hnkawan b…"
kngkkarac',8,final,no,2,Amirika.xml,0,…snakan 'Talusing Wentay Beyhung Wasaw Qqhuni Kngkkarac' uxay daw Co sucn pnsnakan kluwanan na Wentay…
hla'alua,8,internal,yes,8,KalʉvʉngaNgani.xml,0,"…egan seejiq ga, Bunun 80%, Tayal 1%, Cou 3%, Hla'alua 4%, Paiwan 1%."
qnlhangan',7,final,no,7,Cayingun.xml,0,…atas 'Tu-ku-bey-cu Pnluban Niya Qnlhangan Mi Qnlhangan' pusu kari. Kngkawas 2000 cida Cn Swey-pyeyn …
'qnlhangan,7,initial,no,6,Luxembourg.xml,0,"… kari France, kari Germany, kari Luxembourg. 'Qnlhangan muhing elu jyujika' u ou kluwanan kari ddiyu…"
konhoko'',6,final,no,2,China.xml,0,"…da peheyu ''gaya smnetun fancinka Confazemin konhoko'', ani sokiya pklahan alang dahaka alang mita r…"
'patas,6,initial,no,4,Ciyakang.xml,0,…n Sirin cwen ka alang Cyakang. Pnyahan alang 'Patas Lntudan Marah Matas Nyusan Skangki' – Patas …
makedon',6,final,no,1,Macedonia.xml,0,…dha pnklanun ka knklanan 'Kingal dukuricu ka Makedon' so mkala 'Kingal pnspuwan hbaraw qnlhangan B…
a'lripay,5,internal,no,2,A’lripay.xml,0,= A'lripay = Gaga mniq Taytung Peynansyang ka alang A'l…
b'anux,5,internal,no,2,B’anux.xml,0,= B'anux = Gaga mniq Myawriseyn Tayansyang ka alang B…
