token,count,category,in_attestation_dict,n_files,example_file,example_sentence_id,example_context
niyazu',8843,final,yes,1332,'Oponoho.xml,0,"…nu tademaw i Kaohsiung a kuwan nu Kalinku ku niyazu' nu 'Oponoho. u kasalumaluma' nu 'Oponoho sa,…"
luma',2443,final,yes,1533,'Oponoho.xml,0,"…noho. u kasalumaluma' nu 'Oponoho sa, 133 ku luma'. kumud nu kasabinawlan sa, 406 ku tademawan. …"
lala',1716,final,yes,641,20180601_u_sapibetik_a_kamu_nu_minanam_tu_kamu_nu_Sakizaya.xml,0,"…uzipay tuyniyan u hekal, pauzipay tuyniyan u lala'. mudiputay tu tamiyan, kakawsan nu Sakizaya a…"
buyu',1267,final,yes,466,2025_a_mihcaan_Bataan_mapuwas.xml,0,…an Bataan mapuwas kya masatangkuay a nanym i buyu' namahica 2025 sapitanam i tini i huy-sen-lin…
balucu',1209,final,yes,591,101_damsayay_a_wacu’.xml,0,"…a sikulitay a wacu'"" nisumadan, namahiza u sabalucu'an ni ama wina patahlal paazih tu wawa a igaa…"
kabana',1021,final,no,975,Abih.xml,0,"…, u luyaluy nu tademaw, pulung muengeneng, u kabana' kami, hina u lalumaay amin i niyazu', caay k…"
niyadu',857,final,no,292,2022_a_mihcaan_u_Elus_misatal_tu_Ukelan.xml,0,"…atedep tu Ukelan nu timulan Tunpas hananay a niyadu', kiyu malepacaw ku Tunpas. 2021 a mihcaan cac…"
kasalumaluma',810,final,no,791,'Oponoho.xml,0,"…a kuwan nu Kalinku ku niyazu' nu 'Oponoho. u kasalumaluma' nu 'Oponoho sa, 133 ku luma'. kumud nu kasab…"
inayi',754,final,no,574,'Oponoho.xml,0,…a u Paywan atu Yuwatan. u Sakizaya a tademaw inayi' ku Sakizaya itini. u cidekay nu Ingcumin u R…
saadidi'ay,721,internal,no,703,A-Taw-buSi-te-le.xml,0,"…elid a wayway, misakakuay mipatay tu tademaw saadidi'ay 550 mang pasu Yu-tay a tademaw, Pow-lan a ta…"
adidi'ay,645,internal,yes,289,101_damsayay_a_wacu’.xml,0,…atu acawa ni Pa-pe-ti (Perdita) nilecuhan a tadidi'ay a wacu' makidem nu caculculan ni Ku-yi-l ku …
dada',391,final,yes,247,20171110-Taywan_Yincumin_Wikipayke_patizneg_a_kawaw_sasukamu_nu_iga.xml,0,"…eng kisu 一定不知道 ayzasa, 28 Timul-subal a kamu dada' izaw ku nuheniay a Wikipayke zuma a kamu sa …"
sasubana'ay,383,internal,no,383,Abih.xml,0,"… sa ku ""Taywan"", u Hulam a sulit sa ku 台灣. u sasubana'ay a kamu sa, Taywan Yincumin sa mikitinay ""Tim…"
di'tu,372,internal,yes,132,2017_a_mihca_nangayaw_139_a_mihca_–_Sakizaya_Palamal_u_laylay_nu_lisin.xml,0,…etu 18:44 milimad tu adingu 18:45 padihku tu di'tu atu mililuc 18:48 taluma' ku kapah 18:50 mid…
adidi',357,final,yes,260,101_damsayay_a_wacu’.xml,0,…atu acawa ni Pa-pe-ti (Perdita) nilecuhan a tadidi'ay a wacu' makidem nu caculculan ni Ku-yi-l k…
taluma',335,final,yes,202,101_damsayay_a_wacu’.xml,0,"…'ay wacu' amin malingatu tu a panukas ta sakataluma' i Lun-tun, teban nu zazan maedap tu nu damsa…"
ba'tu,334,internal,yes,177,A-li-pa-pa_atu_sepat_a_bataan_a_kukung.xml,0,"…da i nuayawan nu buyu', pasayda i tabakiay a ba'tu tanu tuwa' sa miawiwi: ""buhaten ku panan nu …"
misanga',329,final,yes,202,101_damsayay_a_wacu’.xml,0,"…an nu iga, nika i Hu-lam a iciba nipamelinan misanga' ""101 tatenga'ay a wacu' han, zikuzan sangale…"
nyadu',313,final,no,40,Kabulawan_nu_nyadu`遷移史_uni_calakatan_nu_teluc_nu_sakidaya_a_tademaw.xml,0,"…alapalaan, makakilim kuheni anu idaidaw tu kunyadu' hakya sabiyawan itini mueneng, u sasacabayan…"
bayu',304,final,no,143,A-la-puo-lin-he-ta-kun-kuo.xml,0,"…, micapitu Walian u buyu'. amisan u He-mu-ce bayu', u Puo-se-wan sakatayda i hekal nu masacacaya…"
misapayu',298,final,no,296,"Komaw,_Kumaw.xml",0,"…dan a lacul u zuma a cidekay a kamu, saungay misapayu' a cidekay u sulit nu zuma a kamu-Hulam atu A…"
niyadu'an,295,internal,no,118,2025_mihcaan_Taypei_nai’_ku_hicahica_nu_sapiedisan_a_kawaw.xml,0,…ci nida misapapa'ngaw tu Ta-tun atu Cung-san niyadu'an. 17 demiad misuy cinida i tapiingan nu Cung-s…
akuti',283,final,yes,151,2026_a_mihcaan_1_a_bulad_5_ay_a_demiad.xml,0,… upasepi nu paudipay caay kasumad .友情的祝福永不變u akuti' caay kaselep 願溫暖始終不減nipadaesu nu paudipay i …
