rule_id,file,s_id,character,position,form_before,form_after
c031,XML/zu_yu_duan_wen_indigenous_language_essays/Atayal/Wenshui_Atayal.xml,126,',28,"kalun cu nku' papasibaq maha', ""nabuwibuwi 'i' tihway babaw niya' laxi ku' masicuqi lawwi la.""","kalun cu nku' papasibaq maha"", ""nabuwibuwi ""i' tihway babaw niya' laxi ku' masicuqi lawwi la."""
c031,XML/zu_yu_duan_wen_indigenous_language_essays/Atayal/Wenshui_Atayal.xml,126,',43,"kalun cu nku' papasibaq maha', ""nabuwibuwi 'i' tihway babaw niya' laxi ku' masicuqi lawwi la.""","kalun cu nku' papasibaq maha"", ""nabuwibuwi ""i' tihway babaw niya' laxi ku' masicuqi lawwi la."""
c031,XML/zu_yu_duan_wen_indigenous_language_essays/Atayal/Wenshui_Atayal.xml,158,',60,"ini ka'ingasug ru binasun kahabag ku' paruxaw niyam. kumaal 'i' yaki' maha', ""ulung isu' ku' rumag.""","ini ka'ingasug ru binasun kahabag ku' paruxaw niyam. kumaal ""i' yaki' maha"", ""ulung isu' ku' rumag."""
c031,XML/zu_yu_duan_wen_indigenous_language_essays/Atayal/Wenshui_Atayal.xml,158,',74,"ini ka'ingasug ru binasun kahabag ku' paruxaw niyam. kumaal 'i' yaki' maha', ""ulung isu' ku' rumag.""","ini ka'ingasug ru binasun kahabag ku' paruxaw niyam. kumaal ""i' yaki' maha"", ""ulung isu' ku' rumag."""
c031,XML/hui_ben_ping_tai_picture_book_platform/Rukai/Wutai_Rukai.xml,50551,',96,"kay Cangale si agiini ka ababay yacengecenge ka kadrua ku kaupungulini si kanekane ku akaneane. 'ama, ama, lrimuinusu la iya?'","kay Cangale si agiini ka ababay yacengecenge ka kadrua ku kaupungulini si kanekane ku akaneane. ""ama, ama, lrimuinusu la iya?"""
c031,XML/hui_ben_ping_tai_picture_book_platform/Rukai/Wutai_Rukai.xml,50551,',125,"kay Cangale si agiini ka ababay yacengecenge ka kadrua ku kaupungulini si kanekane ku akaneane. 'ama, ama, lrimuinusu la iya?'","kay Cangale si agiini ka ababay yacengecenge ka kadrua ku kaupungulini si kanekane ku akaneane. ""ama, ama, lrimuinusu la iya?"""
c031,XML/hui_ben_ping_tai_picture_book_platform/Rukai/Wutai_Rukai.xml,146942,',0,'aneanenumi? watumatumanenumi ikay kikay? ' kay sakaumanemane ka umaumase la kalisi si akuadrau giringi.,"""aneanenumi? watumatumanenumi ikay kikay?"" kay sakaumanemane ka umaumase la kalisi si akuadrau giringi."
c031,XML/hui_ben_ping_tai_picture_book_platform/Rukai/Wutai_Rukai.xml,146942,',41,'aneanenumi? watumatumanenumi ikay kikay? ' kay sakaumanemane ka umaumase la kalisi si akuadrau giringi.,"""aneanenumi? watumatumanenumi ikay kikay?"" kay sakaumanemane ka umaumase la kalisi si akuadrau giringi."
c032,XML/hui_ben_ping_tai_picture_book_platform/Rukai/Wutai_Rukai.xml,146942,',42,'aneanenumi? watumatumanenumi ikay kikay? ' kay sakaumanemane ka umaumase la kalisi si akuadrau giringi.,"""aneanenumi? watumatumanenumi ikay kikay?"" kay sakaumanemane ka umaumase la kalisi si akuadrau giringi."
c031,XML/hui_ben_ping_tai_picture_book_platform/Bunun/Junqun_Bunun.xml,205909,',43,"kulung hai kusia sasaduan ahil cia tu ilav 'tupatu' maiskava matua mas ilav tan, pulumahav cin amin saikin sadu mas ahil .","kulung hai kusia sasaduan ahil cia tu ilav ""tupatu"" maiskava matua mas ilav tan, pulumahav cin amin saikin sadu mas ahil ."
c031,XML/hui_ben_ping_tai_picture_book_platform/Bunun/Junqun_Bunun.xml,205909,',50,"kulung hai kusia sasaduan ahil cia tu ilav 'tupatu' maiskava matua mas ilav tan, pulumahav cin amin saikin sadu mas ahil .","kulung hai kusia sasaduan ahil cia tu ilav ""tupatu"" maiskava matua mas ilav tan, pulumahav cin amin saikin sadu mas ahil ."
