record_id,source_sentence_clean,target_sentence_clean,origin,legacy_source_id,legacy_duplicate_rows,source_url,raw_path
GLOSBE_STATIC_8014485d93f3db592c1a,"Oniya lalakaw wa milengo, hano kaemangho patireng to noˈadingoan a patosokan, paisalakat i kaˈorip to mitosilay a demak.","本篇課文會談談,為什麼我們要在年輕時就設定屬靈目標,把傳道工作擺在生活的第一位。",current_scrape_reviewed_match,Amis_226,4,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_1b1803bb4bd384a8348d,"Mahecaday kita ci Yihofaan, makalimay micada ko tamdaw to soˈlinay kimad a ‘maˈorip’.","我們像耶和華一樣,衷心盼望別人接受真理而“活下去”。(",current_scrape_reviewed_match,Amis_2,7,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_5fb93f4f5aa4fe965798,"Patahekalay ci Solomon to taˈangayay timolo, itini sapadama ni Yihofa, pitoay ira ko kalitosa miheca milaheci a patireng to tadamaanay a fangcalay sefi.","所羅門表現很大的勇氣採取行動,他在耶和華的幫助下,用七年半的時間就建造了宏偉輝煌的聖殿。",current_scrape_reviewed_match,Amis_5,9,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_04e0a41f9522c2a31e2a,"Ya matayal cingra i lomaˈ ni Potifar i, patahekalay cingra to pakaˈmetay to tireng a capeling.","約瑟在法老的侍衛長波提乏的家工作時,就曾顯出自制這種特質。",current_scrape_reviewed_match,Amis_229,6,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_ff8854354dc77be4dc25,"Saˈayaway mananamay a soˈlinay kimad i, oya sapairasol i Satapangan 3:15.",我們最初學到的真理也包括創世記3:15的預言。,current_scrape_reviewed_match,Amis_230,2,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_9fb888c7dd0c80ee4cc3,Samaan ngaˈ milifok to soˈlinay a lipahak?,怎樣才能享有真正的快樂?,current_scrape_reviewed_match,Amis_231,2,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_4a860a43d9ed667c0894,"Oniya saparadiw o paparihaday to falocoˈ ita, misaday a mitengil to kamok no taykay.","這些管弦樂讓我們可以靜下心來,準備聆聽接下來的節目。",current_scrape_reviewed_match,Amis_31,6,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_92d5126c2bf771b91dc6,Micerid a miˈosi to Fangcalay Cudad,經常閱讀聖經,current_scrape_reviewed_match,Amis_233,2,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_09b2fae1e065d2319b48,"Somowalay ci Yis to cecay tinakoan, milengo to cecay sidaˈitay a Samariya tamdaw samanay paihkal to adayayay.","耶穌說了一個比喻,講述一個仁愛的撒馬利亞人怎樣表現慈悲。",current_scrape_reviewed_match,Amis_234,5,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_bfb19eb5a892e4af5ce1,9 O sakatosa a tinakoan i samaanay ko pinengneng no Kawas to pakapolinay to tao.,9 第二個例子是上帝對於絆倒別人有什麼看法。,current_scrape_reviewed_match,Amis_10,8,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_1ba1eac920589b2acdd9,"Palo kafanaˈan ita a sowal mahongyak ko Fangcalay Cudad, o mamisamaan patahekal ko niyah to misalimelaay to Fangcalay Cudad?","既然聖經被翻譯成我們能明白的語言,那麼我們可以怎樣表示自己珍視聖經?",current_scrape_reviewed_match,Amis_11,6,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_b28f709cf054d203062e,"Tatodong no makeroay i cepiˈ i, “o wacay sanay a makeroay maroˈay i cepiˈ no lafang a miˈiwaˈiw to tireng.”",膝上舞是指“穿著暴露的舞者坐在客人的腿上扭動身體的舞蹈”。,current_scrape_reviewed_match,Amis_483,0,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_3459aee58d9ab0d104a4,"Sowal no kaka: “ˈAcaan ako koniya cudad, limaay a tangloy.”","哥哥說:“我就買了這本冊子,因為才五分錢而已。”",current_scrape_reviewed_match,Amis_37,4,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
GLOSBE_STATIC_bdf7c3f5d353d50ad538,"4 Itini i saka cecay hahekalan, o roma tamdaw na micadaay to milasilan ni Yis a kimad, kawra ikorto cowa pidoedo to soˈlinay kimad a midemak.","4 在1世紀,有些人原本接受耶穌傳講的道理,後來卻不再按真理而行。",current_scrape_reviewed_match,Amis_239,13,https://glosbe.com/ami/zh/a/fragment/tmem?page=1&mode=MUST&stem=true&includedAuthors=&excludedAuthors=,data/raw/html/static/ami_zh/a/fragment_page_1.html
